PMID,Gene,Effect on gene product,Model,Susceptibility observed,Inferred gene effect,Specificity,Species,pub_date,LastAuthor
29444976,FOXO1,Removal,Surgical - DMM,Detrimental,Protective,Cartilage,Mouse,2018 Feb 14,Lotz MK
29444976,FOXO1,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2018 Feb 14,Lotz MK
29444976,FOXO3,Removal,Treadmill,Detrimental,Protective,Cartilage,Mouse,2018 Feb 14,Lotz MK
29444976,FOXO3,Removal,Surgical - DMM,Detrimental,Protective,Cartilage,Mouse,2018 Feb 14,Lotz MK
29444976,FOXO3,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2018 Feb 14,Lotz MK
29444976,FOXO4,Removal,Treadmill,Detrimental,Protective,Cartilage,Mouse,2018 Feb 14,Lotz MK
29444976,FOXO4,Removal,Surgical - DMM,Detrimental,Protective,Cartilage,Mouse,2018 Feb 14,Lotz MK
29444976,FOXO4,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2018 Feb 14,Lotz MK
25450854,FRZB,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2014 Oct 30,Lories RJ
29555825,FYN,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2018 Mar 19,Bai X
29555825,FYN,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2018 Mar 19,Bai X
31534047,FYN,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2019 Sep 19,Robinson WH
20805298,GDF5,Haploinsufficiency,Surgical - DMM,No effect,No effect,Global,Mouse,2010 Aug 30,Lories RJ
20805298,GDF5,Haploinsufficiency,Collagenase,Detrimental,Protective,Global,Mouse,2010 Aug 30,Lories RJ
20805298,GDF5,Haploinsufficiency,Treadmill,Detrimental,Protective,Global,Mouse,2010 Aug 30,Lories RJ
17656374,GDF5,Inhibition,Spontaneous,Detrimental,Protective,Global,Mouse,2007 Jul 26,Ikegawa S
15219569,GH1,Overexpression,Spontaneous,Detrimental,Detrimental,Global,Mouse,2004 Jul,Delgado-Baeza E
27682878,GJA1,Deficiency,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2016 Nov 8,Mayan MD
19915594,GLI2,Overexpression,Spontaneous,Detrimental,Detrimental,Cartilage,Mouse,2009 Nov 15,Alman BA
30926814,GREM1,Removal,Surgical - DMM + MM,Protective,Detrimental,Cartilage Inducible,Mouse,2019 Mar 29,Saito T
31696655,GRK5,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2019 Nov 6,Nakashima Y
25169730,GRN,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2014 Aug 28,Liu CJ
25169730,GRN,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2014 Aug 28,Liu CJ
28646530,HAS1,Removal,Surgical - Cartilage Injury,Detrimental,Protective,Global,Mouse,2017 Jul 21,Plaas A
26521733,HAS1,Removal,Surgical - Cartilage Injury,Detrimental,Protective,Global,Mouse,2015 Nov,Plaas A
25733872,HES1,Removal,Spontaneous,Protective,Detrimental,Cartilage Inducible,Mouse,2015 Mar 2,Saito T
26403062,HFE,Removal,Surgical - DMM + MM,Detrimental,Protective,Global,Mouse,2015 Sep 25,Cancela ML
31132316,HFE,Removal,Spontaneous,No effect,No effect,Global,Mouse,2019 May 27,Cancela ML
19139395,HMGB2,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2009 Jan 12,Lotz M
31176016,HSD11B1,Overexpression,Surgical - DMM,Protective,Protective,Cartilage,Mouse,2019 Jun 5,Zhou H
27118120,HSPD1,Overexpression,Collagenase,Protective,Protective,Global,Mouse,2016 Apr 27,Wang FS
26636652,HSPG2,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2016 Apr,Melrose J
23339896,HSPG2,Removal,Surgical - DMM + MM,Protective,Detrimental,Cartilage,Mouse,2013 Jan 20,Arikawa-Hirasawa E
31051168,HTRA1,Removal,Col11a1 haploinsufficient,Protective,Detrimental,Global,Mouse,2019 Apr 30,Xu L
31051168,HTRA1,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2019 Apr 30,Xu L
31051168,HTRA1,Removal,Surgical - PDE,Protective,Detrimental,Global,Mouse,2019 Apr 30,Xu L
18344557,HYAL1,Haploinsufficiency,Spontaneous,Detrimental,Protective,Global,Mouse,2008 Mar 15,Triggs-Raine BL
28765635,HYAL2,Removal,Surgical - DMM,Detrimental,Protective,Cartilage,Mouse,2017 Aug 1,Ishiguro N
22173325,IFT88,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2011 Nov 27,Serra R
31638855,IGF1,Removal,Surgical - DMM,Protective,Detrimental,Liver,Mouse,2019 Oct 22,Svensson J
31638855,IGF1,Removal,Spontaneous,No effect,No effect,Liver,Mouse,2019 Oct 22,Svensson J
24428864,IHH,Removal,Spontaneous,Protective,Detrimental,Cartilage Inducible,Mouse,2014 Jan 15,Wei L
27654963,IL1A,Removal,Collagenase,No effect,No effect,Global,Mouse,2016 Sep 18,van Lent PL
27654963,IL1B,Removal,Collagenase,No effect,No effect,Global,Mouse,2016 Sep 18,van Lent PL
14673996,IL1B,Removal,Surgical - DMM + MM,Detrimental,Protective,Global,Mouse,2003 Dec,Mason RM
21590680,IL6,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2011 Sep,Chun JS
15639639,IL6,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2005 Jan,van den Berg WB
15639639,IL6,Removal,Collagenase,No effect,No effect,Global,Mouse,2005 Jan,van den Berg WB
29622035,IRF4,Removal,Collagenase,Protective,Detrimental,Global,Mouse,2018 Apr 5,Cook AD
14558093,ITGA1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2003 Oct,Lotz M
27211864,ITGA1,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2016 May 20,Clark AL
27280771,ITGA5,Removal,Surgical - DMM + MCL,Protective,Detrimental,Cartilage,Mouse,2016 Jun 9,Enomoto-Iwamoto M
31534047,ITGB3,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2019 Sep 19,Robinson WH
28314754,KDM6B,Removal,Surgical - DMM,Detrimental,Protective,Cartilage Inducible,Mouse,2017 Mar 17,Ouyang H
23151457,LCAT,Removal,High Fat Diet,Detrimental,Protective,Global,Mouse,2012 Nov 11,Papachristou DJ
27477830,LCN2,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2016 Jul 29,Chun JS
29074298,LDLR,Removal,High Fat Diet,Detrimental,Protective,Global,Mouse,2017 Oct 24,Stoop R
24286458,LDLR,Removal,Collagenase,Detrimental,Protective,Global,Mouse,2013 Nov 4,van Lent PL
27390029,LEPR,Mutation,Surgical - DMM + MCL,Detrimental,Protective,Global,Mouse,2016 Jul 5,Caramés B
17545192,LGALS3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2007 Jun 1,Reboul P
17545192,LGALS3,Removal,MIA,Detrimental,Protective,Global,Mouse,2007 Jun 1,Reboul P
32098291,LGALS3,Removal,Surgical - MM,Detrimental,Protective,Global,Mouse,2020 Feb 22,Ea HK
32098291,LGALS3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2020 Feb 22,Ea HK
31569601,LOXL2,Overexpression,MIA,Protective,Protective,Global,Mouse,2019 Sep 27,Bais MV
24479426,LRP5,Removal,Surgical - DMM,Protective,Detrimental,Cartilage,Mouse,2014 Jan 31,Ryu JH
24479426,LRP5,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2014 Jan 31,Ryu JH
23756208,LRP6,Deficiency,Surgical - DMM + ACL+MM,Detrimental,Protective,Global,Mouse,2013 Jun 10,Williams BO
11790802,LTBP3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2002 Jan 14,Rifkin DB
12089156,LUM,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2002 Jun 27,Chakravarti S
26405834,MAP3K5,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2015 Sep 29,Freeman TA
26405834,MAP3K5,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2015 Sep 29,Freeman TA
18975318,MAPK14,Inhibition,Spontaneous,Detrimental,Protective,Global,Mouse,2008 Nov,Chen Q
26663140,MAPK9,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2016 May,Saklatvala J
27270603,MATN1,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2016 Jun 7,Chen Q
31963938,MATN1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2020 Jan 19,Aszodi A
31963938,MATN2,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2020 Jan 19,Aszodi A
16877353,MATN3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2006 Aug,Chen Q
31963938,MATN3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2020 Jan 19,Aszodi A
31963938,MATN4,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2020 Jan 19,Aszodi A
25191747,MC1R,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2014 Sep 5,Grässel S
26797130,MCAT,Overexpression,Spontaneous,Protective,Protective,Global,Mouse,2016 Jan 21,Loeser RF
31084709,MCL1,Removal,Surgical - DMM,Protective,Detrimental,Mast cells,Mouse,2019 May 14,Robinson WH
21368873,MIA,Removal,Surgical - DMM + MM,Protective,Detrimental,Global,Mouse,2010 Nov 11,Bosserhoff AK
27564840,MIF,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2017 Feb,Loeser RF
27564840,MIF,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2017 Feb,Loeser RF
31647983,MINK1,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2019 Oct 21,Ouyang H
31647983,MINK1,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2019 Oct 21,Ouyang H
29575548,mir-146a,Overexpression,Surgical - DMM,Protective,Protective,Cartilage,Mouse,2018 Mar 24,Chen Q
29575548,mir-146a,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2018 Mar 24,Chen Q
29575548,mir-146a,Overexpression,Spontaneous,Protective,Protective,Cartilage,Mouse,2018 Mar 24,Chen Q
29575548,mir-146a,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2018 Mar 24,Chen Q
28383548,mir-146a,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2017 Apr 6,Zhang X
28383548,mir-146a,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2017 Apr 6,Zhang X
31253842,mir-204,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2019 Jun 28,Chen D
31253842,mir-204,Removal,Spontaneous,Detrimental,Protective,Forelimb,Mouse,2019 Jun 28,Chen D
30932160,mir-21-5p,Removal,Spontaneous,Protective,Detrimental,Cartilage Inducible,Mouse,2019 Apr 1,Zheng X
30932160,mir-21-5p,Removal,Surgical - DMM,Protective,Detrimental,Cartilage Inducible,Mouse,2019 Apr 1,Zheng X
31253842,mir-211,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2019 Jun 28,Chen D
31253842,mir-211,Removal,Spontaneous,Detrimental,Protective,Forelimb,Mouse,2019 Jun 28,Chen D
28620193,miR-29a,Overexpression,Collagenase,Protective,Protective,Global,Mouse,2017 Jun 15,Wang FS
31586040,mir-455-3p,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2019 Oct 4,Zhang Z
30145794,mir-483-5p,Overexpression,Spontaneous,Detrimental,Detrimental,Inducible,Mouse,2018 Aug 26,Bai X
28139355,mir-483-5p,Overexpression,Surgical - DMM,Detrimental,Detrimental,Inducible,Mouse,2017 Jan 27,Bai X
31160553,mir-140,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2019 Jun 3,Asahara H
20466812,mir-140,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2010 May 13,Asahara H
20466812,mir-140,Removal,Surgical - DMM,Detrimental,Protective,Cartilage,Mouse,2010 May 13,Asahara H
23298463,MMP13,Removal,Surgical - DMM + MM,Protective,Detrimental,Cartilage Inducible,Mouse,2013 Jan 8,Chen D
19950295,MMP13,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2009 Dec,Thompson EW
19950295,MMP13,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2009 Dec,Thompson EW
11134178,MMP13,Overexpression,Spontaneous,Detrimental,Detrimental,Global,Mouse,2001 Jan,DeGennaro LJ
21216815,MMP17,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2011 Jan 7,Newham P
17195217,MMP3,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2007 Jan,van den Berg WB
14673996,MMP3,Removal,Surgical - DMM + MM,Detrimental,Protective,Global,Mouse,2003 Dec,Mason RM
27766031,MSR1,Removal,Surgical - ACLT,Protective,Detrimental,Global,Mouse,2016 Aug 26,Chen Q
30385786,STK4,Removal,Surgical - DMM,Protective,Detrimental,Cartilage,Mouse,2018 Nov 1,Mak KK
30385786,STK4,Removal,Surgical - ACLT,Protective,Detrimental,Cartilage,Mouse,2018 Nov 1,Mak KK
30385786,STK3,Removal,Surgical - DMM,Protective,Detrimental,Cartilage,Mouse,2018 Nov 1,Mak KK
30385786,STK3,Removal,Surgical - ACLT,Protective,Detrimental,Cartilage,Mouse,2018 Nov 1,Mak KK
26903440,MT1A,Removal,Surgical - DMM,Detrimental,Protective,Cartilage,Mouse,2016 Feb 22,Chun JS
26903440,MT2A,Removal,Surgical - DMM,Detrimental,Protective,Cartilage,Mouse,2016 Feb 22,Chun JS
24529376,MTF1,Removal,Surgical - DMM,Protective,Detrimental,Cartilage,Mouse,2014 Feb 13,Chun JS
24651621,MTOR,Removal,Surgical - DMM,Protective,Detrimental,Cartilage Inducible,Mouse,2014 Mar 20,Kapoor M
31007149,MTOR,Removal,Surgical - UAC,Protective,Detrimental,Cartilage Inducible,Mouse,2019 Apr 21,Wang M
24703622,MYD88,Removal,Surgical - DMM +MM,No effect,No effect,Global,Mouse,2014 Apr 2,Busso N
24347567,NAMPT,Overexpression,Surgical - DMM,Detrimental,Detrimental,Cartilage,Mouse,2013 Dec 17,Chun JS
31742919,NCAM1,Removal,MIA,Detrimental,Protective,Global,Mouse,2019 Nov 19,Feng ZW
30195046,NCF1,Removal,Collagenase,No effect,No effect,Global,Mouse,2018 Sep 5,van den Bosch MHJ
31634652,NELL1,Deficiency,Spontaneous,Detrimental,Protective,Global,Mouse,2019 Oct 12,Soo C
24248346,NFATC1,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2013 Nov 18,Aliprantis AO
19526482,NFATC1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2009 Oct,Anderson HC
30915215,NFATC2,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2019 Mar 2,Wang J
24248346,NFATC2,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2013 Nov 18,Aliprantis AO
21452283,NFATC2,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2011 Aug,Wang J
26408027,NFE2L2,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2015 Sep 26,Cao W
26408027,NFE2L2,Removal,MIA,Detrimental,Protective,Global,Mouse,2015 Sep 26,Cao W
29604191,NFKBIZ,Overexpression,Spontaneous,Detrimental,Detrimental,Cartilage,Mouse,2018 Jul 25,Park Y
29604191,NFKBIZ,Removal,Surgical - DMM,Protective,Detrimental,Cartilage,Mouse,2018 Jul 25,Park Y
14673996,NOS2,Removal,Surgical - DMM + MM,Detrimental,Protective,Global,Mouse,2003 Dec,Mason RM
26851274,NOTCH1,Deficiency,Surgical - DMM,Detrimental,Protective,Global,Mouse,2016 Feb 5,Distler JH
26198357,NOTCH1,Activated,Spontaneous,Detrimental,Detrimental,Cartilage Inducible,Mouse,2015 Jul 21,Hilton MJ
29940267,NOTCH2,Activated,Surgical - DMM,Detrimental,Detrimental,Global,Mouse,2018 Jun 22,Canalis E
31304988,NOX4,Removal,Tibial Compression,Protective,Detrimental,Global,Mouse,2019 Aug 1,Haudenschild DR
25749104,NR1I2,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2015 Mar 6,Inoue S
28492224,NT5E,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2017 May 11,Cronstein BN
30143643,NUDT7,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2018 Aug 24,Jin EJ
28348422,OLR1,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2017 Feb 14,Akagi M
26901593,OLR1,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2016 Feb 22,Akagi M
28097228,OPRK1,Removal,Surgical - Cartilage Injury,Detrimental,Protective,Global,Mouse,2017 Jan 12,Evseenko D
29323130,OPTC,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2018 Jan 11,Martel-Pelletier J
26138248,PANX3,Removal,Surgical - DMM,Protective,Detrimental,Cartilage,Mouse,2015 Jul 4,Beier F
15882565,PAPSS2,Inhibition,Spontaneous,Detrimental,Protective,Global,Mouse,2005 May,Jirik FR
30659184,PBXIP1,Removal,Surgical - ACLT,Protective,Detrimental,Cartilage,Mouse,2019 Jan 18,Wang Y
31351471,PDPN,Removal,Loading,Protective,Detrimental,Bone,Mouse,2019 Jul 27,Farquharson C
21643724,PHEX,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2011 Jun 4,Macica CM
26746148,PHLPP1,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2015 Dec 31,Westendorf JJ
31684073,PINK1,Removal,MIA,Protective,Detrimental,Global,Mouse,2019 Nov 2,Beom J
17549029,PITX1,Haploinsufficiency,Spontaneous,Detrimental,Protective,Global,Mouse,2007 Sep,Moreau A
25331977,PPARD,Removal,Surgical - DMM,Protective,Detrimental,Cartilage,Mouse,2015 Feb,Beier F
25573665,PPARG,Removal,Surgical - DMM,Detrimental,Protective,Cartilage Inducible,Mouse,2015 Jan 8,Kapoor M
23375622,PPARG,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2013 Jan 30,Kapoor M
31239244,PPARG,Removal,Surgical - DMM,Detrimental,Protective,Inducible,Mouse,2019 Jun 25,Cao W
30629676,PRG4,Overexpression,Dominant-negative TGFBR2,Protective,Protective,Global,Mouse,2019 Jan 10,Serra R
24834922,PRG4,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2014 May 16,Nah HD
23530215,PRG4,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2013 Mar 25,Jay GD
23486780,PRG4,Overexpression,Spontaneous,Protective,Protective,Global,Mouse,2013 Mar 13,Lee BH
23486780,PRG4,Overexpression,Surgical - ACLT,Protective,Protective,Global,Mouse,2013 Mar 13,Lee BH
31119776,PRG4,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2019 Jun 26,Krawetz R
28225087,PRKAA1,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2017 Feb 22,Jiang Q
28225087,PRKAA1,Removal,Surgical - DMM,Detrimental,Protective,Cartilage Inducible,Mouse,2017 Feb 22,Jiang Q
26741062,PRKAA1,Removal,Exercise,No effect,No effect,Cartilage,Mouse,2016 Jan 7,Jin D
28225087,PRKAA2,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2017 Feb 22,Jiang Q
28225087,PRKAA2,Removal,Surgical - DMM,Detrimental,Protective,Cartilage Inducible,Mouse,2017 Feb 22,Jiang Q
26783110,PRKCD,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2016 Jan 18,Im HJ
30111653,PTCH1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2018 Sep 20,Yang Y
19915594,PTCH1,Deficiency,Spontaneous,Detrimental,Protective,Global,Mouse,2009 Nov 15,Alman BA
31482846,PTCH1,Removal,Spontaneous,Detrimental,Protective,Forelimb,Mouse,2019 Sep 4,Li B
31646013,PTEN,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2019 Aug 5,Yang X
31646013,PTEN,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2019 Aug 5,Yang X
18163499,PTGES,Removal,Surgical - DMM + MM,No effect,No effect,Global,Mouse,2008 Jan,Kawaguchi H
21905007,PTGS2,Removal,Surgical - DMM + MM,No effect,No effect,Global,Mouse,2012 Jan,Kawaguchi H
26522700,RBPJ,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2015 Oct 30,Hilton MJ
23839930,RBPJ,Removal,Spontaneous,Detrimental,Protective,Forelimb,Mouse,2013 Oct,Hilton MJ
23839930,RBPJ,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2013 Oct,Hilton MJ
23319657,RBPJ,Inhibition,Surgical - DMM,Protective,Detrimental,Cartilage Inducible,Mouse,2013 Jan 14,Kawaguchi H
27830706,RELA,Removal,Surgical - DMM + MM,Detrimental,Protective,Cartilage Inducible,Mouse,2016 Nov 10,Saito T
27830706,RELA,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2016 Nov 10,Saito T
31981416,RELA,Removal,Spontaneous,Detrimental,Protective,MSC,Mouse,2020 Jan 25,Deng Q
29991473,RHEB,Removal,Collagenase,Protective,Detrimental,Macrophage,Mouse,2018 Jul 10,Bai X
30728500,RORA,Overexpression,Surgical - DMM,Detrimental,Detrimental,Cartilage,Mouse,2019 Feb 6,Chun JS
30728500,RORA,Inhibition,Surgical - DMM,Protective,Detrimental,Global,Mouse,2019 Feb 6,Chun JS
30792936,RPTOR,Removal,Surgical - ACLT,Protective,Detrimental,Global,Mouse,2019 Feb 20,Bai X
31113964,RUNX1,Removal,Surgical - MMTL+MCL,Detrimental,Protective,Cartilage,Mouse,2019 May 21,Chung UI
28539595,RUNX2,Removal,Surgical - DMM,Protective,Detrimental,Cartilage Inducible,Mouse,2017 May 24,Chen D
25628784,RUNX2,Overexpression,TGFB and Treadmill,Protective,Protective,Cartilage,Mouse,2014 Nov 22,Zheng Q
22095691,RUNX2,Haploinsufficiency,Surgical - DMM,Protective,Detrimental,Global,Mouse,2011 Nov 17,Kawaguchi H
22095691,RUNX2,Haploinsufficiency,Spontaneous,Protective,Detrimental,Global,Mouse,2011 Nov 17,Kawaguchi H
20525838,RUNX2,Overexpression,Spontaneous,No effect,No effect,Global,Mouse,2010 Jun 4,Cohen-Solal ME
16868966,RUNX2,Haploinsufficiency,Surgical - DMM  + MM,Protective,Detrimental,Global,Mouse,2006 Aug,Kawaguchi H
31189030,RUNX2,Overexpression,Surgical - MLI,Detrimental,Detrimental,Cartilage Inducible,Mouse,2019 Jun 12,Jonason JH
25180294,S100A9,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2014 Sep 1,van Lent PL
25180294,S100A9,Removal,Collagenase,Protective,Detrimental,Global,Mouse,2014 Sep 1,van Lent PL
22143922,S100A9,Removal,Collagenase,Protective,Detrimental,Global,Mouse,2012 May,van den Berg WB
22143922,S100A9,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2012 May,van den Berg WB
19684582,SDC4,Removal,Surgical - DMM + MM,Protective,Detrimental,Global,Mouse,2009 Aug 16,Pap T
28893232,SERPINE1,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2017 Sep 11,Kaji H
24056368,SETDB1,Removal,Spontaneous,Detrimental,Protective,Forelimb,Mouse,2013 Sep 20,Yang L
25450854,SFRP1,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2014 Oct 30,Lories RJ
27009967,SIK3,Removal,Surgical - DMM,Protective,Detrimental,Cartilage Inducible,Mouse,2016 Mar 24,Tsumaki N
23723318,SIRT1,Removal,Surgical - DMM + MM,Detrimental,Protective,Cartilage,Mouse,2013 May 30,Kurosaka M
23723318,SIRT1,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2013 May 30,Kurosaka M
23587642,SIRT1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2013 Apr 13,McBurney MW
23124828,SIRT1,Inhibition,Spontaneous,Detrimental,Protective,Global,Mouse,2013 Jan,McBurney MW
22258484,SIRT1,Haploinsufficiency,Spontaneous,Detrimental,Protective,Global,Mouse,2012 Jan 17,Dvir-Ginzberg M
29402405,SIRT7,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2018 Feb 2,Yamagata K
29402405,SIRT7,Removal,Treadmill,Protective,Detrimental,Global,Mouse,2018 Feb 2,Yamagata K
24529376,SLC39A8,Overexpression,Surgical - DMM,Detrimental,Detrimental,Cartilage,Mouse,2014 Feb 13,Chun JS
24529376,SLC39A8,Removal,Surgical - DMM,Protective,Detrimental,Cartilage,Mouse,2014 Feb 13,Chun JS
20506210,SMAD3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2010 Aug,O'Keefe RJ
11285272,SMAD3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2001 Apr 2,Deng CX
26272361,SMAD3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2015 Aug 10,Tanaka E
22674505,SMAD3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2012 Oct,Alliston T
27018594,SMO,Activated,Surgical - DMM,Detrimental,Detrimental,Cartilage Inducible,Mouse,2016 Mar 28,Alman BA
19915594,SMO,Activated,Spontaneous,Detrimental,Detrimental,Cartilage,Mouse,2009 Nov 15,Alman BA
19915594,SMO,Removal,Surgical - MM,Protective,Detrimental,Cartilage Inducible,Mouse,2009 Nov 15,Alman BA
31608494,SMO,Removal,Surgical -ACLT,Protective,Detrimental,Inducible,Mouse,2019 Oct 24,Sakai A
31608494,SMO,Removal,Surgical - ACLT + Climbing,Protective,Detrimental,Cartilage Inducible,Mouse,2019 Oct 24,Sakai A
26815610,SMURF2,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2016 Jan 27,Song J
26815610,SMURF2,Removal,Spontaneous,No effect,No effect,Global,Mouse,2016 Jan 27,Song J
18821706,SMURF2,Overexpression,Spontaneous,Detrimental,Detrimental,Cartilage,Mouse,2008 Oct,Rosier RN
26108578,SOD2,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2015 Jun 25,Shimizu T
26108578,SOD2,Removal,Surgical - DMM,Detrimental,Protective,Cartilage,Mouse,2015 Jun 25,Shimizu T
25593283,SOD3,Inhibition,Treadmill,Detrimental,Protective,Global,Mouse,2015 Jan 15,Regan EA
29377313,SOST,Overexpression,Tibial compression,Protective,Protective,Global,Mouse,2018 Apr 2,Loots GG
25656376,SOST,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2015 Feb 6,Cohen-Solal M
23233270,SOST,Removal,Spontaneous,No effect,No effect,Global,Mouse,2013 Mar,Babij P
31966426,SOST,Overexpression,Surgical - DMM,Detrimental,Detrimental,Global,Mouse,2017 Nov 1,Jiang Q
19644889,SPP1,Deficiency,Surgical - DMM + MM,Detrimental,Protective,Global,Mouse,2009 Aug,Uede T
19644889,SPP1,Deficiency,Spontaneous,Detrimental,Protective,Global,Mouse,2009 Aug,Uede T
28252046,ST3GAL5,Removal,Surgical - Injury,Protective,Detrimental,Global,Mouse,2017 Mar 2,Iwasaki N
24333297,ST3GAL5,Removal,Surgical - DMM + MM,Detrimental,Protective,Global,Mouse,2013 Dec 12,Iwasaki N
24333297,ST3GAL5,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2013 Dec 12,Iwasaki N
30471358,ST8SIA1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2018 Nov 22,Iwasaki N
20479257,SULF1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2010 May 17,Lotz MK
20479257,SULF1,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2010 May 17,Lotz MK
20479257,SULF2,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2010 May 17,Lotz MK
