ratID	HumanID	ratGeneSymbol	HumanGeneSymbol
ENSRNOG00000037957	ENSG00000183773	Aifm3	AIFM3
ENSRNOG00000053216	ENSG00000252126	RF00026	RNU6-313P
ENSRNOG00000004784	ENSG00000101247	Ndufaf5	NDUFAF5
ENSRNOG00000012623	ENSG00000168374	Arf4	ARF4
ENSRNOG00000031406	ENSG00000163755	Hps3	HPS3
ENSRNOG00000012748	ENSG00000118640	Vamp8	VAMP8
ENSRNOG00000046677	ENSG00000140067	RGD1309028	FAM181A
ENSRNOG00000058134	ENSG00000199963	RF00026	RNU6-605P
ENSRNOG00000014979	ENSG00000172673	Themis	THEMIS
ENSRNOG00000046621	ENSG00000158417	AABR07043748.1	EIF5B
ENSRNOG00000019435	ENSG00000059915	Psd	PSD
ENSRNOG00000015971	ENSG00000064651	Slc12a2	SLC12A2
ENSRNOG00000010721	ENSG00000126787	Dlgap5	DLGAP5
ENSRNOG00000020022	ENSG00000131470	Psmc3ip	PSMC3IP
ENSRNOG00000055501	ENSG00000239001	RF00026	RNU6-420P
ENSRNOG00000025061	ENSG00000168005	Spindoc	SPINDOC
ENSRNOG00000013962	ENSG00000187391	Magi2	MAGI2
ENSRNOG00000012142	ENSG00000149124	Glyat	GLYAT
ENSRNOG00000049497	ENSG00000242372	Eif6	EIF6
ENSRNOG00000016222	ENSG00000219607	Ppp1r3g	PPP1R3G
ENSRNOG00000005279	ENSG00000003509	Ndufaf7	NDUFAF7
ENSRNOG00000002748	ENSG00000180329	Ccdc43	CCDC43
ENSRNOG00000052415	ENSG00000099984	Gstt2	GSTT2
ENSRNOG00000003476	ENSG00000108576	Slc6a4	SLC6A4
ENSRNOG00000001957	ENSG00000109193	Sult1e1	SULT1E1
ENSRNOG00000021401	ENSG00000184574	Lpar5	LPAR5
ENSRNOG00000012860	ENSG00000164168	Tmem184c	TMEM184C
ENSRNOG00000057365	ENSG00000283751	AABR07042302.1	MIR452
ENSRNOG00000042421	ENSG00000197982	RGD1559909	C1orf122
ENSRNOG00000057893	ENSG00000283313	RF00026	RF00026
ENSRNOG00000045833	ENSG00000147059	AABR07036187.1	SPIN2A
ENSRNOG00000050475	ENSG00000147059	AABR07061556.1	SPIN2A
ENSRNOG00000061884	ENSG00000147059	AC245408.1	SPIN2A
ENSRNOG00000058412	ENSG00000185787	Morf4l1	MORF4L1
ENSRNOG00000035456	ENSG00000207605	Mir3555	MIR191
ENSRNOG00000016794	ENSG00000175287	Phyhd1	PHYHD1
ENSRNOG00000037162	ENSG00000163950	Slbp	SLBP
ENSRNOG00000037618	ENSG00000162456	Kncn	KNCN
ENSRNOG00000014758	ENSG00000108231	Lgi1	LGI1
ENSRNOG00000003509	ENSG00000188340	Olr1588	OR6N2
ENSRNOG00000056543	ENSG00000253049	RF00416	RF00416
ENSRNOG00000060671	ENSG00000207177	RF00432	RF00432
ENSRNOG00000001069	ENSG00000066044	Elavl1	ELAVL1
ENSRNOG00000017610	ENSG00000049759	Nedd4l	NEDD4L
ENSRNOG00000015655	ENSG00000134247	Ptgfrn	PTGFRN
ENSRNOG00000010396	ENSG00000158161	Eya3	EYA3
ENSRNOG00000058677	ENSG00000128534	Lsm8	LSM8
ENSRNOG00000042318	ENSG00000161031	Pglyrp2	PGLYRP2
ENSRNOG00000015810	ENSG00000071539	Trip13	TRIP13
ENSRNOG00000011145	ENSG00000106113	Crhr2	CRHR2
ENSRNOG00000059663	ENSG00000204130	Rufy2	RUFY2
ENSRNOG00000016433	ENSG00000164244	Prrc1	PRRC1
ENSRNOG00000012651	ENSG00000163510	Cwc22	CWC22
ENSRNOG00000046272	ENSG00000197451	Hnrnpab	HNRNPAB
ENSRNOG00000003833	ENSG00000117691	Nenf	NENF
ENSRNOG00000012686	ENSG00000115138	Pomc	POMC
ENSRNOG00000006632	ENSG00000177189	Rps6ka3	RPS6KA3
ENSRNOG00000001837	ENSG00000157005	Sst	SST
ENSRNOG00000017838	ENSG00000087338	Gmcl1	GMCL1
ENSRNOG00000032825	ENSG00000156482	Rpl30	RPL30
ENSRNOG00000012815	ENSG00000115526	Chst10	CHST10
ENSRNOG00000055501	ENSG00000206939	RF00026	RNU6-281P
ENSRNOG00000006961	ENSG00000125835	Snrpb	SNRPB
ENSRNOG00000009867	ENSG00000119699	Tgfb3	TGFB3
ENSRNOG00000009258	ENSG00000105810	Cdk6	CDK6
ENSRNOG00000012803	ENSG00000140395	Wdr61	WDR61
ENSRNOG00000027355	ENSG00000134987	Wdr36	WDR36
ENSRNOG00000047368	ENSG00000167769	Acer1	ACER1
ENSRNOG00000055257	ENSG00000183291	Selenof	SELENOF
ENSRNOG00000053541	ENSG00000139620	Kansl2	KANSL2
ENSRNOG00000005669	ENSG00000178538	Car8	CA8
ENSRNOG00000006871	ENSG00000102078	Slc25a14	SLC25A14
ENSRNOG00000035619	ENSG00000284040	Mir296	MIR296
ENSRNOG00000023195	ENSG00000215545	Defb29	DEFB116
ENSRNOG00000012543	ENSG00000112118	Mcm3	MCM3
ENSRNOG00000060753	ENSG00000139641	Esyt1	ESYT1
ENSRNOG00000052373	ENSG00000278815	RF00006	RF00006
ENSRNOG00000020877	ENSG00000131096	Pyy	PYY
ENSRNOG00000034177	ENSG00000184349	Efna5	EFNA5
ENSRNOG00000011963	ENSG00000169777	Tas2r119	TAS2R1
ENSRNOG00000042276	ENSG00000256060	Trappc2	TRAPPC2B
ENSRNOG00000025630	ENSG00000162244	RGD1563300	RPL29
ENSRNOG00000048005	ENSG00000172769	Olr338	OR5B3
ENSRNOG00000008812	ENSG00000119777	Tmem214	TMEM214
ENSRNOG00000053979	ENSG00000138798	Egf	EGF
ENSRNOG00000060615	ENSG00000108557	Rai1	RAI1
ENSRNOG00000016334	ENSG00000119314	Ptbp3	PTBP3
ENSRNOG00000023410	ENSG00000128335	Apol9a	APOL2
ENSRNOG00000024922	ENSG00000106336	Fbxo24	FBXO24
ENSRNOG00000033734	ENSG00000118194	Tnnt2	TNNT2
ENSRNOG00000013293	ENSG00000078070	Mccc1	MCCC1
ENSRNOG00000008016	ENSG00000136026	Ckap4	CKAP4
ENSRNOG00000003990	ENSG00000177885	Grb2	GRB2
ENSRNOG00000007325	ENSG00000048028	Usp28	USP28
ENSRNOG00000041223	ENSG00000216101	Mir877	MIR877
ENSRNOG00000054397	ENSG00000201367	RF00026	RNU6-522P
ENSRNOG00000013623	ENSG00000165566	Amer2	AMER2
ENSRNOG00000005924	ENSG00000125868	Dstn	DSTN
ENSRNOG00000060816	ENSG00000209582	RF00554	SNORA48
ENSRNOG00000051992	ENSG00000209582	RF00554	SNORA48
ENSRNOG00000051533	ENSG00000207442	RF00108	SNORD116-6
ENSRNOG00000053726	ENSG00000207442	RF00108	SNORD116-6
ENSRNOG00000004980	ENSG00000108961	Rangrf	RANGRF
ENSRNOG00000015852	ENSG00000160007	Arhgap35	ARHGAP35
ENSRNOG00000008203	ENSG00000163630	Synpr	SYNPR
ENSRNOG00000006889	ENSG00000106927	Ambp	AMBP
ENSRNOG00000012524	ENSG00000255073	Zfp91	ZFP91-CNTF
ENSRNOG00000054402	ENSG00000252335	RF00026	RNU6-62P
ENSRNOG00000014882	ENSG00000161958	Fgf11	FGF11
ENSRNOG00000003117	ENSG00000197170	Psmd12	PSMD12
ENSRNOG00000025370	ENSG00000187595	Zfp385c	ZNF385C
ENSRNOG00000027432	ENSG00000101074	R3hdml	R3HDML
ENSRNOG00000058877	ENSG00000124212	AABR07034131.1	PTGIS
ENSRNOG00000059174	ENSG00000207153	RF00026	RNU6-933P
ENSRNOG00000019667	ENSG00000166387	Ppfibp2	PPFIBP2
ENSRNOG00000003242	ENSG00000144366	Gulp1	GULP1
ENSRNOG00000021795	ENSG00000184949	Fam227a	FAM227A
ENSRNOG00000025720	ENSG00000106410	Nobox	NOBOX
ENSRNOG00000055812	ENSG00000252030	RF00026	RNU6-1196P
ENSRNOG00000007302	ENSG00000166147	Fbn1	FBN1
ENSRNOG00000006813	ENSG00000144455	Sumf1	SUMF1
ENSRNOG00000060816	ENSG00000212391	RF00554	RF00554
ENSRNOG00000051992	ENSG00000212391	RF00554	RF00554
ENSRNOG00000011361	ENSG00000137700	Slc37a4	SLC37A4
ENSRNOG00000004351	ENSG00000197119	Slc25a29	SLC25A29
ENSRNOG00000046140	ENSG00000283039	AABR07049184.1	KLF18
ENSRNOG00000051483	ENSG00000178980	LOC103689961	SELENOW
ENSRNOG00000061038	ENSG00000144821	Myh15	MYH15
ENSRNOG00000009226	ENSG00000127377	Crygn	CRYGN
ENSRNOG00000040458	ENSG00000208013	Mir652	MIR652
ENSRNOG00000056195	ENSG00000222612	RF00004	RNU2-52P
ENSRNOG00000019000	ENSG00000182541	Limk2	LIMK2
ENSRNOG00000026690	ENSG00000151657	Kin	KIN
ENSRNOG00000014641	ENSG00000140986	Rpl3l	RPL3L
ENSRNOG00000014311	ENSG00000092068	Slc7a8	SLC7A8
ENSRNOG00000058134	ENSG00000202427	RF00026	RNU6-744P
ENSRNOG00000009250	ENSG00000150787	Pts	PTS
ENSRNOG00000033378	ENSG00000164068	Rnf123	RNF123
ENSRNOG00000007510	ENSG00000181004	Bbs12	BBS12
ENSRNOG00000018693	ENSG00000141505	Asgr1	ASGR1
ENSRNOG00000008933	ENSG00000121316	Plbd1	PLBD1
ENSRNOG00000003782	ENSG00000123130	Acot9	ACOT9
ENSRNOG00000016875	ENSG00000100307	Cbx7	CBX7
ENSRNOG00000013390	ENSG00000163376	Kbtbd8	KBTBD8
ENSRNOG00000047014	ENSG00000152413	Homer1	HOMER1
ENSRNOG00000043113	ENSG00000183114	Fam43b	FAM43B
ENSRNOG00000042189	ENSG00000168461	Rab31	RAB31
ENSRNOG00000013263	ENSG00000198003	Ccdc151	CCDC151
ENSRNOG00000051533	ENSG00000207063	RF00108	SNORD116-1
ENSRNOG00000053726	ENSG00000207063	RF00108	SNORD116-1
ENSRNOG00000061499	ENSG00000167548	Kmt2d	KMT2D
ENSRNOG00000015664	ENSG00000137103	Tmem8b	TMEM8B
ENSRNOG00000052615	ENSG00000252238	RF00322	RF00322
ENSRNOG00000027447	ENSG00000115145	Stam2	STAM2
ENSRNOG00000007472	ENSG00000168137	Setd5	SETD5
ENSRNOG00000049951	ENSG00000179292	NEWGENE_1310680	TMEM151A
ENSRNOG00000012957	ENSG00000097033	Sh3glb1	SH3GLB1
ENSRNOG00000020369	ENSG00000167244	Igf2	IGF2
ENSRNOG00000005802	ENSG00000162402	Usp24	USP24
ENSRNOG00000055501	ENSG00000252643	RF00026	RNU6-1136P
ENSRNOG00000007657	ENSG00000196739	Col27a1	COL27A1
ENSRNOG00000057189	ENSG00000164935	LOC103690326	DCSTAMP
ENSRNOG00000007266	ENSG00000166323	RGD1311251	C11orf65
ENSRNOG00000014992	ENSG00000003056	LOC100909548	M6PR
ENSRNOG00000000614	ENSG00000122870	Bicc1	BICC1
ENSRNOG00000061528	ENSG00000274862	RF00004	RF00004
ENSRNOG00000001717	ENSG00000198836	Opa1	OPA1
ENSRNOG00000048395	ENSG00000262085	Olr1515	OR1P1
ENSRNOG00000005569	ENSG00000173868	Phospho1	PHOSPHO1
ENSRNOG00000035598	ENSG00000207705	Mir129-1	MIR129-1
ENSRNOG00000034075	ENSG00000215218	Ube2ql1	UBE2QL1
ENSRNOG00000013720	ENSG00000106624	Aebp1	AEBP1
ENSRNOG00000026086	ENSG00000183128	Calhm3	CALHM3
ENSRNOG00000001336	ENSG00000276045	Orai1	ORAI1
ENSRNOG00000021882	ENSG00000184840	Tmed9	TMED9
ENSRNOG00000011533	ENSG00000177508	Irx3	IRX3
ENSRNOG00000006649	ENSG00000151090	Thrb	THRB
ENSRNOG00000021021	ENSG00000126262	Ffar2	FFAR2
ENSRNOG00000032261	ENSG00000205702	Cyp2d4	CYP2D7
ENSRNOG00000011646	ENSG00000139890	Rem2	REM2
ENSRNOG00000002855	ENSG00000035928	Rfc1	RFC1
ENSRNOG00000055232	ENSG00000200086	RF00026	RNU6-433P
ENSRNOG00000001691	ENSG00000159261	Cldn14	CLDN14
ENSRNOG00000003086	ENSG00000166582	Cenpv	CENPV
ENSRNOG00000052503	ENSG00000201113	RF00026	RNU6-647P
ENSRNOG00000001375	ENSG00000197093	Gal3st4	GAL3ST4
ENSRNOG00000006490	ENSG00000067141	Neo1	NEO1
ENSRNOG00000059903	ENSG00000169231	Thbs3	THBS3
ENSRNOG00000042158	ENSG00000105352	Ceacam12	CEACAM4
ENSRNOG00000034000	ENSG00000105352	AABR07002659.1	CEACAM4
ENSRNOG00000017519	ENSG00000105352	LOC102557244	CEACAM4
ENSRNOG00000033348	ENSG00000137857	Duox1	DUOX1
ENSRNOG00000001602	ENSG00000198862	Ltn1	LTN1
ENSRNOG00000054250	ENSG00000135436	Fam186b	FAM186B
ENSRNOG00000016998	ENSG00000124788	Atxn1	ATXN1
ENSRNOG00000000574	ENSG00000135940	AC096404.1	COX5B
ENSRNOG00000009094	ENSG00000173598	Nudt4	NUDT4
ENSRNOG00000020009	ENSG00000174576	Npas4	NPAS4
ENSRNOG00000010126	ENSG00000170468	Riox1	RIOX1
ENSRNOG00000004216	ENSG00000165501	Lrr1	LRR1
ENSRNOG00000019959	ENSG00000131398	Kcnc3	KCNC3
ENSRNOG00000013657	ENSG00000197457	Stmn3	STMN3
ENSRNOG00000014556	ENSG00000101542	Cdh20	CDH20
ENSRNOG00000012932	ENSG00000135205	Ccdc146	CCDC146
ENSRNOG00000024264	ENSG00000174945	Amz1	AMZ1
ENSRNOG00000018364	ENSG00000108773	Kat2a	KAT2A
ENSRNOG00000029197	ENSG00000284934	Diablo	DIABLO
ENSRNOG00000013886	ENSG00000082074	Fyb1	FYB1
ENSRNOG00000016538	ENSG00000077943	Itga8	ITGA8
ENSRNOG00000012956	ENSG00000198959	Tgm2	TGM2
ENSRNOG00000007700	ENSG00000175189	Inhbc	INHBC
ENSRNOG00000021091	ENSG00000168016	Trank1	TRANK1
ENSRNOG00000013492	ENSG00000131236	Cap1	CAP1
ENSRNOG00000010584	ENSG00000152558	Tmem123	TMEM123
ENSRNOG00000011751	ENSG00000020129	Ncdn	NCDN
ENSRNOG00000013776	ENSG00000124157	Semg1	SEMG2
ENSRNOG00000018510	ENSG00000134058	Cdk7	CDK7
ENSRNOG00000000138	ENSG00000174332	Glis1	GLIS1
ENSRNOG00000008052	ENSG00000159363	Atp13a2	ATP13A2
ENSRNOG00000031127	ENSG00000182004	Snrpe	SNRPE
ENSRNOG00000029564	ENSG00000163519	Trat1	TRAT1
ENSRNOG00000028569	ENSG00000159314	Arhgap27	ARHGAP27
ENSRNOG00000055118	ENSG00000281516	RF00423	RF00423
ENSRNOG00000011241	ENSG00000114126	Tfdp2	TFDP2
ENSRNOG00000001293	ENSG00000239857	Get4	GET4
ENSRNOG00000056837	ENSG00000159842	Abr	ABR
ENSRNOG00000054259	ENSG00000172059	Klf11	KLF11
ENSRNOG00000022877	ENSG00000100227	Poldip3	POLDIP3
ENSRNOG00000034183	ENSG00000135164	AABR07040266.1	DMTF1
ENSRNOG00000059310	ENSG00000238382	RF00026	RNU6-1211P
ENSRNOG00000030530	ENSG00000197540	Gzmm	GZMM
ENSRNOG00000007292	ENSG00000040275	Spdl1	SPDL1
ENSRNOG00000003220	ENSG00000163041	H3f3a	H3F3A
ENSRNOG00000002545	ENSG00000182831	RGD1309748	C16orf72
ENSRNOG00000012545	ENSG00000182974	Olr1612	AC135068.1
ENSRNOG00000012471	ENSG00000113296	Thbs4	THBS4
ENSRNOG00000043068	ENSG00000075131	Tipin	TIPIN
ENSRNOG00000037221	ENSG00000075131	Tipinl1	TIPIN
ENSRNOG00000025200	ENSG00000215115	LOC102553785	CXorf49
ENSRNOG00000013514	ENSG00000179632	Maf1	MAF1
ENSRNOG00000003924	ENSG00000038210	Pi4k2b	PI4K2B
ENSRNOG00000060538	ENSG00000197622	Cdc42se1	CDC42SE1
ENSRNOG00000014130	ENSG00000123975	Cks2	CKS2
ENSRNOG00000000715	ENSG00000064835	Pou1f1	POU1F1
ENSRNOG00000056231	ENSG00000283262	RF00026	RF00026
ENSRNOG00000016399	ENSG00000119559	RGD1359127	C19orf25
ENSRNOG00000017180	ENSG00000112337	Slc17a2	SLC17A2
ENSRNOG00000018761	ENSG00000205609	Eif3c	EIF3CL
ENSRNOG00000034083	ENSG00000176895	Olr67	OR51A7
ENSRNOG00000007348	ENSG00000094661	Olr1087	OR1I1
ENSRNOG00000053700	ENSG00000134548	Spx	SPX
ENSRNOG00000021150	ENSG00000149782	Plcb3	PLCB3
ENSRNOG00000055151	ENSG00000202503	RF00147	SNORD34
ENSRNOG00000002265	ENSG00000036828	Casr	CASR
ENSRNOG00000060923	ENSG00000200398	RF00105	SNORD115-24
ENSRNOG00000058138	ENSG00000200398	RF00105	SNORD115-24
ENSRNOG00000011949	ENSG00000136521	Ndufb5	NDUFB5
ENSRNOG00000020720	ENSG00000164049	Fbxw12	FBXW12
ENSRNOG00000017605	ENSG00000112699	Gmds	GMDS
ENSRNOG00000019598	ENSG00000112715	Vegfa	VEGFA
ENSRNOG00000025353	ENSG00000103356	Ears2	EARS2
ENSRNOG00000050485	ENSG00000180447	Gas1	GAS1
ENSRNOG00000004731	ENSG00000134343	Ano3	ANO3
ENSRNOG00000013059	ENSG00000034533	Aste1	ASTE1
ENSRNOG00000017981	ENSG00000065328	Mcm10	MCM10
ENSRNOG00000006595	ENSG00000166736	Htr3a	HTR3A
ENSRNOG00000017854	ENSG00000175567	Ucp2	UCP2
ENSRNOG00000023176	ENSG00000134313	Kidins220	KIDINS220
ENSRNOG00000056290	ENSG00000240671	AABR07061052.1	IGKV1-8
ENSRNOG00000058743	ENSG00000252774	RF00554	RF00554
ENSRNOG00000057172	ENSG00000252774	RF00554	RF00554
ENSRNOG00000057657	ENSG00000252774	RF00554	RF00554
ENSRNOG00000057420	ENSG00000252774	RF00554	RF00554
ENSRNOG00000003594	ENSG00000163444	Tmem183a	TMEM183A
ENSRNOG00000002746	ENSG00000163430	Fstl1	FSTL1
ENSRNOG00000015368	ENSG00000169340	Pdilt	PDILT
ENSRNOG00000043031	ENSG00000227729	Rd3l	RD3L
ENSRNOG00000007808	ENSG00000177432	Nap1l5	NAP1L5
ENSRNOG00000056956	ENSG00000131931	Thap1	THAP1
ENSRNOG00000006285	ENSG00000146872	Tlk2	TLK2
ENSRNOG00000015109	ENSG00000104691	Ubxn8	UBXN8
ENSRNOG00000035587	ENSG00000207607	Mir3575	MIR200A
ENSRNOG00000029244	ENSG00000113209	Pcdhb10	PCDHB5
ENSRNOG00000009114	ENSG00000169122	Fam110b	FAM110B
ENSRNOG00000061139	ENSG00000143498	Taf1a	TAF1A
ENSRNOG00000011542	ENSG00000256053	Apopt1	APOPT1
ENSRNOG00000028348	ENSG00000162624	Lhx8	LHX8
ENSRNOG00000018094	ENSG00000122012	Sv2c	SV2C
ENSRNOG00000008423	ENSG00000172209	Gpr22	GPR22
ENSRNOG00000016686	ENSG00000174695	Tmem167a	TMEM167A
ENSRNOG00000028832	ENSG00000156395	Sorcs3	SORCS3
ENSRNOG00000027728	ENSG00000005700	Ibtk	IBTK
ENSRNOG00000033608	ENSG00000103855	Cd276	CD276
ENSRNOG00000059894	ENSG00000072571	Hmmr	HMMR
ENSRNOG00000004781	ENSG00000072832	Crmp1	CRMP1
ENSRNOG00000008567	ENSG00000172680	Mos	MOS
ENSRNOG00000016099	ENSG00000172201	Id4	ID4
ENSRNOG00000001072	ENSG00000090661	Cers4	CERS4
ENSRNOG00000011951	ENSG00000145632	Plk2	PLK2
ENSRNOG00000043229	ENSG00000185960	LOC691272	SHOX
ENSRNOG00000021437	ENSG00000142798	AABR07073181.1	HSPG2
ENSRNOG00000024178	ENSG00000102901	Cenpt	CENPT
ENSRNOG00000018326	ENSG00000130313	Pgls	PGLS
ENSRNOG00000011627	ENSG00000056097	Zfr	ZFR
ENSRNOG00000003191	ENSG00000198908	Bhlhb9	BHLHB9
ENSRNOG00000055564	ENSG00000187479	RGD1564664	C11orf96
ENSRNOG00000020072	ENSG00000081818	Pcdhb9	PCDHB4
ENSRNOG00000061477	ENSG00000221083	RF00599	RF00599
ENSRNOG00000020860	ENSG00000182134	Tdrkh	TDRKH
ENSRNOG00000023389	ENSG00000172031	Ephx4	EPHX4
ENSRNOG00000056231	ENSG00000212184	RF00026	RNU6-440P
ENSRNOG00000036693	ENSG00000183048	Slc25a10	SLC25A10
ENSRNOG00000002361	ENSG00000138669	Prkg2	PRKG2
ENSRNOG00000011884	ENSG00000215186	Golga2	GOLGA6B
ENSRNOG00000008870	ENSG00000171681	Atf7ip	ATF7IP
ENSRNOG00000014208	ENSG00000137100	Dctn3	DCTN3
ENSRNOG00000032590	ENSG00000100154	Ttc28	TTC28
ENSRNOG00000012108	ENSG00000136114	Thsd1	THSD1
ENSRNOG00000030418	ENSG00000147027	Tmem47	TMEM47
ENSRNOG00000006419	ENSG00000169857	Aven	AVEN
ENSRNOG00000007632	ENSG00000166343	Mss51	MSS51
ENSRNOG00000039528	ENSG00000105058	Fam32a	FAM32A
ENSRNOG00000061528	ENSG00000278048	RF00004	RF00004
ENSRNOG00000016378	ENSG00000107968	Map3k8	MAP3K8
ENSRNOG00000052289	ENSG00000156471	Ptdss1	PTDSS1
ENSRNOG00000055281	ENSG00000057019	Dcbld2	DCBLD2
ENSRNOG00000053018	ENSG00000202379	RF00156	RF00156
ENSRNOG00000020394	ENSG00000197771	Mcmbp	MCMBP
ENSRNOG00000058120	ENSG00000137251	Tinag	TINAG
ENSRNOG00000061349	ENSG00000207130	RF00399	RF00399
ENSRNOG00000026455	ENSG00000152642	Gpd1l	GPD1L
ENSRNOG00000012219	ENSG00000060688	Snrnp40	SNRNP40
ENSRNOG00000015408	ENSG00000127831	Vil1	VIL1
ENSRNOG00000048451	ENSG00000100336	LOC100911804	APOL4
ENSRNOG00000018534	ENSG00000144214	LOC100910070	LYG1
ENSRNOG00000021833	ENSG00000166268	Myrfl	MYRFL
ENSRNOG00000046295	ENSG00000153443	LOC100910875	UBALD1
ENSRNOG00000000663	ENSG00000100109	Tfip11	TFIP11
ENSRNOG00000019613	ENSG00000170743	Syt9	SYT9
ENSRNOG00000008191	ENSG00000182742	Hoxb4	HOXB4
ENSRNOG00000029866	ENSG00000205593	Dennd6b	DENND6B
ENSRNOG00000007937	ENSG00000285953	Krit1	AC000120.3
ENSRNOG00000001465	ENSG00000010404	Ids	IDS
ENSRNOG00000001599	ENSG00000156253	Rwdd2b	RWDD2B
ENSRNOG00000030938	ENSG00000187889	AABR07049499.1	FYB2
ENSRNOG00000049661	ENSG00000257704	Inafm1	INAFM1
ENSRNOG00000012454	ENSG00000165275	Trmt10b	TRMT10B
ENSRNOG00000001161	ENSG00000111780	Gatc	AL021546.1
ENSRNOG00000014984	ENSG00000185800	Dmwd	DMWD
ENSRNOG00000013862	ENSG00000158050	Dusp2	DUSP2
ENSRNOG00000047491	ENSG00000067445	AABR07037520.1	TRO
ENSRNOG00000061723	ENSG00000252998	RF00026	RNU6-889P
ENSRNOG00000058363	ENSG00000252350	RF00009	RPPH1-3P
ENSRNOG00000051803	ENSG00000252350	RF00009	RPPH1-3P
ENSRNOG00000061702	ENSG00000252350	RF00009	RPPH1-3P
ENSRNOG00000053230	ENSG00000133393	Fopnl	FOPNL
ENSRNOG00000016442	ENSG00000197757	Hoxc6	HOXC6
ENSRNOG00000015666	ENSG00000140798	Abcc12	ABCC12
ENSRNOG00000047459	ENSG00000168298	Hist1h1e	HIST1H1E
ENSRNOG00000042634	ENSG00000165953	Serpina12	SERPINA12
ENSRNOG00000001465	ENSG00000241489	Ids	AC244197.3
ENSRNOG00000052321	ENSG00000253057	RF00100	RN7SKP57
ENSRNOG00000020087	ENSG00000184939	Zfp90	ZFP90
ENSRNOG00000018250	ENSG00000129991	Tnni3	TNNI3
ENSRNOG00000057090	ENSG00000223265	RF00026	RNU6-592P
ENSRNOG00000021773	ENSG00000261236	Bop1	BOP1
ENSRNOG00000021179	ENSG00000110583	Naa40	NAA40
ENSRNOG00000016722	ENSG00000169180	Xpo6	XPO6
ENSRNOG00000055367	ENSG00000169413	Rnase6	RNASE6
ENSRNOG00000042598	ENSG00000196776	LOC100909977	CD47
ENSRNOG00000006792	ENSG00000166037	Cep57	CEP57
ENSRNOG00000011884	ENSG00000178115	Golga2	GOLGA8Q
ENSRNOG00000052503	ENSG00000252416	RF00026	RNU6-885P
ENSRNOG00000061528	ENSG00000278774	RF00004	RF00004
ENSRNOG00000046246	ENSG00000159674	AABR07015881.1	SPON2
ENSRNOG00000010019	ENSG00000188163	Fam166a	FAM166A
ENSRNOG00000011884	ENSG00000249931	Golga2	GOLGA8K
ENSRNOG00000057077	ENSG00000222726	RF00004	RNU2-7P
ENSRNOG00000049938	ENSG00000241128	Olr32	OR14A2
ENSRNOG00000027016	ENSG00000082438	Cobll1	COBLL1
ENSRNOG00000046280	ENSG00000204065	Tceal5	TCEAL5
ENSRNOG00000060388	ENSG00000200422	RF00279	RF00279
ENSRNOG00000006615	ENSG00000099810	Mtap	MTAP
ENSRNOG00000028087	ENSG00000154079	Sdhaf4	SDHAF4
ENSRNOG00000026324	ENSG00000174448	Stard6	STARD6
ENSRNOG00000049336	ENSG00000203896	Lime1	LIME1
ENSRNOG00000056996	ENSG00000181378	Cfap65	CFAP65
ENSRNOG00000021095	ENSG00000285526	Fxyd3	AC020907.6
ENSRNOG00000036693	ENSG00000262660	Slc25a10	AC139530.2
ENSRNOG00000033981	ENSG00000196844	Pate2	PATE2
ENSRNOG00000038600	ENSG00000167646	Dnaaf3	DNAAF3
ENSRNOG00000009935	ENSG00000082898	Xpo1	XPO1
ENSRNOG00000017674	ENSG00000102974	Ctcf	CTCF
ENSRNOG00000051902	ENSG00000202125	RF00003	RNU1-100P
ENSRNOG00000007886	ENSG00000228278	Orm1	ORM2
ENSRNOG00000019492	ENSG00000144647	Pomgnt2	POMGNT2
ENSRNOG00000011680	ENSG00000172349	Il16	IL16
ENSRNOG00000031726	ENSG00000089127	Oas1e	OAS1
ENSRNOG00000017297	ENSG00000135932	Cab39	CAB39
ENSRNOG00000003211	ENSG00000143742	Srp9	SRP9
ENSRNOG00000013934	ENSG00000166444	St5	ST5
ENSRNOG00000042497	ENSG00000262179	LOC108352018	MYMX
ENSRNOG00000020714	ENSG00000130529	Trpm4	TRPM4
ENSRNOG00000019973	ENSG00000138175	Arl3	ARL3
ENSRNOG00000060349	ENSG00000196937	Fam3c	FAM3C
ENSRNOG00000058679	ENSG00000206680	RF00068	SNORD21
ENSRNOG00000030017	ENSG00000225830	Ercc6	ERCC6
ENSRNOG00000031997	ENSG00000137941	Ttll7	TTLL7
ENSRNOG00000019843	ENSG00000126091	St3gal3	ST3GAL3
ENSRNOG00000057147	ENSG00000243279	Praf2	PRAF2
ENSRNOG00000011829	ENSG00000103494	Rpgrip1l	RPGRIP1L
ENSRNOG00000017408	ENSG00000051009	Fam160a2	FAM160A2
ENSRNOG00000019791	ENSG00000116991	Sipa1l2	SIPA1L2
ENSRNOG00000010319	ENSG00000136167	Lcp1	LCP1
ENSRNOG00000005472	ENSG00000105866	Sp4	SP4
ENSRNOG00000059458	ENSG00000065491	Tbc1d22b	TBC1D22B
ENSRNOG00000056696	ENSG00000200608	RF00181	SNORD114-11
ENSRNOG00000057088	ENSG00000200608	RF00181	SNORD114-11
ENSRNOG00000007625	ENSG00000172318	B3galt1	B3GALT1
ENSRNOG00000012404	ENSG00000151365	Thrsp	THRSP
ENSRNOG00000042068	ENSG00000264522	Otud7b	OTUD7B
ENSRNOG00000028498	ENSG00000071127	Wdr1	WDR1
ENSRNOG00000017849	ENSG00000113108	Apbb3	APBB3
