accession	comparison	comparisonsText
E-GEOD-15118	4	The CH10T1/2 cell line transfected with the R150C variant PTHR1 treated with carriervsThe CH10T1/2 cell line transfected with the wild type PTHR1
E-GEOD-16007	1	microRNA-140 depletionvscontrol
E-GEOD-17473	1	tissue: TMJ condyle; developmental stage: embryo; age: E16.5vstissue: TMJ fossa; developmental stage: embryo; age: E16.5
E-GEOD-18647	1	Cre.;Tgfbr2lox/wt.Intervertebral disc (IVD)vsCre.;Tgfbr2lox/lox.Intervertebral disc (IVD)
E-GEOD-18647	2	Cre.;Tgfbr2lox/wt.VertebraevsCre.;Tgrbr2lox.lox.Vertebrae
E-GEOD-18647	3	Cre.;Tgfbr2lox/wt.Intervertebral disc (IVD)vsCre.;Tgfbr2lox/wt.Vertebrae
E-GEOD-18647	4	Cre.;Tgfbr2lox/lox.Intervertebral disc (IVD)vsCre.;Tgrbr2lox.lox.Vertebrae
E-GEOD-18648	1	TGF.beta1vsnone
E-GEOD-18648	2	BMP4vsnone
E-GEOD-2154	1	X15vsX12
E-GEOD-2154	2	X12vsX9
E-GEOD-2154	3	X9vsX6
E-GEOD-2154	4	X6vsX3
E-GEOD-26475	1	Murine knee joint_Operated (DMM)_6hrvsMurine knee joint_Operated (Sham)_6hr
E-GEOD-26475	2	Murine knee joint_Operated (DMM)_3dayvsMurine knee joint_Operated (Sham)_3day
E-GEOD-26475	3	Murine knee joint_Operated (DMM)_7daysvsMurine knee joint_Operated (Sham)_7days
E-GEOD-33567	1	Mouse C2C12 cells (96h)vsMouse C2C12 cells (0h)
E-GEOD-33567	2	Mouse C2C12 cells treated with BMP2 (96h)vsMouse C2C12 cells (96h)
E-GEOD-37287	1	Interdigital Tissue Tbr2Prx1KO mutantsvsInterdigital Tissue Controls
E-GEOD-37287	2	Growth Plate Chondrocyte Tgfbr2Prx1KO  mutantsvsGrowth Plate Chondrocyte Controls
E-GEOD-37287	3	Interzone Tgfbr2Prx1KO mutantsvsInterzone Controls
E-GEOD-51994	1	SZvsMZ
E-GEOD-51994	2	SZvsDZ
E-GEOD-51994	3	MZvsDZ
E-GEOD-54216	1	superficial zonevsintermediate/deep zone
E-GEOD-54216	2	superficial zonevsresting zone
E-GEOD-54216	3	intermediate/deep zonevsresting zone
E-GEOD-6119	1	IL-1vscontrol
E-GEOD-6119	2	glucosaminevscontrol
E-GEOD-6119	3	IL-1 and glucosaminevscontrol
E-GEOD-65077	1	Over expression day 1 (vsControl day 1 (
E-GEOD-8077	1	contralateral osteoarthritis inductionvsipsilateral osteoarthritic induction
E-GEOD-8077	2	contralateral osteoarthritis inductionvssham surgery
E-GEOD-8077	3	ipsilateral osteoarthritic inductionvssham surgery
E-MEXP-1244	1	dexamethasonevsnone
E-MTAB-1123	1	wild type.12vswild type.6
E-MTAB-1123	2	mOL-AR knockout.12vsmOL-AR knockout.6
E-MTAB-1123	3	mOL-AR knockout.12vswild type.12
E-MTAB-1123	4	mOL-AR knockout.6vswild type.6
E-MTAB-1391	1	X27vsX9
E-MTAB-1391	2	X27vsX0
E-MTAB-1391	3	X9vsX0
E-MTAB-2450	1	control.rhBMP2vscontrol.none
E-MTAB-2450	2	miR-195 transfection.rhBMP2vsmiR-195 transfection.none
E-MTAB-2450	3	miR-195 transfection.rhBMP2vscontrol.rhBMP2
E-MTAB-2450	4	miR-195 transfection.nonevscontrol.none
E-MTAB-5023	1	Mesenchymal cell-specific homozygous deletion of SbdsvsSbds wildtype
E-MTAB-5326	1	25 MPa pressure.1vsno hydrostatic pressure.NA
E-MTAB-5326	2	25 MPa pressure.4vsno hydrostatic pressure.NA
E-MTAB-5326	3	25 MPa pressure.24vsno hydrostatic pressure.NA
GSE102588	1	X13del.tg.mutant.with.bone.overgrowthvswild.type
GSE103416	1	monosodium iodoacetate (MIA).2vsnaive.0
GSE103416	2	monosodium iodoacetate (MIA).14vsnaive.0
GSE103416	3	monosodium iodoacetate (MIA).28vsnaive.0
GSE104793	1	IL-1b treatedvsUntreated
GSE104794	1	Ad-Epas1(HIF-2a) infectedvsAd-null infected
GSE104795	1	Ad-Zip8 infectedvsAd-null infected
GSE105139	1	AhsgHETvsAhsgWT
GSE105139	2	AhsgKOvsAhsgWT
GSE105139	3	AhsgKOvsAhsgHET
GSE10555	1	osteoblast Slc39a13 knockoutvsosteoblast wild type
GSE10556	1	chondrocyte Slc39a13 knockoutvschondrocyte wild type
GSE106631	1	galectin-8 treated (50nM, 24hrs)vsnone
GSE13104	1	c2984, osteosarcoma from p53+/- mouse. Non-treated.vsCell type: mc3T3 mouse osteoblast, non-tumorigenic. Non-treated.
GSE13104	2	Osteosarcoma arisen from p53+/- mouse. Non-treated.vsCell type: mc3T3 mouse osteoblast, non-tumorigenic. Non-treated.
GSE13104	3	Rhabdomyosarcoma arisen from p53+/- mouse. Non-treated.vsCell type: mc3T3 mouse osteoblast, non-tumorigenic. Non-treated.
GSE16749	1	RAW 264.7, RANKL + M-CSFvsRAW 264.7, Unstimulated
GSE16749	2	RAW 264.7, Unstimulated, miR-155vsRAW 264.7, Unstimulated
GSE16749	3	RAW 264.7, RANKL + M-CSF, miR-155vsRAW 264.7, Unstimulated, miR-155
GSE17348	1	conditioned medium of MDA-PCa2b cellsvsconditioned medium of PC-3 cells
GSE17563	1	Differentiating precursorvsPrecursor
GSE17563	2	OsteoclastvsDifferentiating precursor
GSE17569	1	ALCAM(+) Sca-1(-)vsALCAM(-) Sca-1(-)
GSE17569	2	ALCAM(-) Sca-1(+)vsALCAM(-) Sca-1(-)
GSE17570	1	PDGFRa(+) Sca-1(+)vsPDGFRa(-) Sca-1(-)
GSE17570	2	PDGFRa(+) Sca-1(-)vsPDGFRa(-) Sca-1(-)
GSE18991	1	Hoxd4 transgenicvswild type
GSE18992	1	Hoxc8 transgenicvswild type
GSE19299	1	Rb KnockoutvsWild type
GSE19950	1	prothrombin adherent cells from long bonevsosteopontin adherent cells from long bone
GSE21093	1	RCCSvscontrol
GSE21523	1	TERC-/-vsTERC+/+
GSE21639	1	RAW_RL_day1vsRAW_CTRL_day1
GSE21639	2	RAW_RL_day2vsRAW_CTRL_day2
GSE21639	3	RAW_RL_day4vsRAW_CTRL_day4
GSE21639	4	RAW_RL_day5vsRAW_CTRL_day5
GSE21710	1	time: 24 hvstime: 0 h
GSE21710	2	time: 12 hvstime: 0 h
GSE21710	3	time: 6 hvstime: 0 h
GSE22925	1	Wild type mice, endothelial, G-CSFvsWild type mice, endothelial, untreated
GSE22925	2	Wild type mice, osteoblasts, G-CSFvsWild type mice, osteoblasts, untreated
GSE26499	1	RANKlowFmshighvsRANKhighFmslow
GSE30160	1	knockin mutantvswild type
GSE30322	1	subchondral bone,operation,1 week postsurgeryvssubchondral bone,sham operation,1 week postsurgery
GSE30322	2	subchondral bone,operation,2 weeks postsurgeryvssubchondral bone,sham operation,2 weeks postsurgery
GSE30322	3	subchondral bone,operation,4 weeks postsurgeryvssubchondral bone,sham operation,4 weeks postsurgery
GSE30628	1	Col10a1 p.Asn617Lysvswild type
GSE30628	2	ColXTgcogvswild type
GSE32163	1	del175k mutantvswild-type
GSE33656	1	Frzb -/-vswild-type
GSE33754	1	age: 8 weeks.strain: Str/ortvsage: 8 weeks.strain: CBA
GSE33754	2	age: 18 weeks.strain: Str/ortvsage: 18 weeks.strain: CBA
GSE33754	3	age: 40 weeks.strain: Str/ortvsage: 40 weeks.strain: CBA
GSE34570	1	osteoblasts_2uM PP1_24hrvsosteoblasts_DMSO_24hr
GSE35003	1	Ift88-deletedvswild-type
GSE35466	1	bone marrow cells, adiponectin, 4 hrsvsbone marrow cells, unterated, 4 hrs
GSE35466	2	bone marrow cells, adiponectin, 10 hrsvsbone marrow cells, unterated, 10 hrs
GSE35466	3	bone marrow cells, adiponectin, 24 hrsvsbone marrow cells, unterated, 24 hrs
GSE35466	4	bone marrow cells, adiponectin, 72 hrsvsbone marrow cells, unterated, 72 hrs
GSE35466	5	bone marrow cells, adiponectin, 120 hrsvsbone marrow cells, unterated, 120 hrs
GSE36925	1	BMP2(-),LOXL2(+)vsBMP2(-),LOXL2(-)
GSE36925	2	BMP2(+),LOXL2(-)vsBMP2(-),LOXL2(-)
GSE36925	3	BMP2(+),LOXL2(+)vsBMP2(-),LOXL2(-)
GSE37219	1	NFATc1 fl/fl MxCre+vsNFATc1 fl/fl MxCre-
GSE37676	1	Mc3T3 cells_treated with AA_5 daysvsMc3T3_untreated_5 days
GSE41342	1	Gene expression data from DMM joints 2 weeks after surgeryvsGene expression data from sham controls 2 weeks after surgery
GSE41342	2	Gene expression data from DMM joints 4 weeks after surgeryvsGene expression data from sham controls 4 weeks after surgery
GSE41342	3	Gene expression data from DMM joints 8 weeks after surgeryvsGene expression data from sham controls 8 weeks after surgery
GSE41342	4	Gene expression data from DMM joints 16 weeks after surgeryvsGene expression data from sham controls 16 weeks after surgery
GSE41997	1	Estrogen Receptor alpha knock-outvscontrol
GSE42295	1	surgery: OA.time after surgery: 2 weeksvssurgery: Sham.time after surgery: 2 weeks
GSE42295	2	surgery: OA.time after surgery: 8 weeksvssurgery: Sham.time after surgery: 8 weeks
GSE42295	3	surgery: OA.time after surgery: 8 weeksvssurgery: OA.time after surgery: 2 weeks
GSE43242	1	Osteoblast specific beta-catenin constitutively expressedvswild type
GSE43242	2	Osteoblast specific FoxO1 deletedvswild type
GSE43663	1	PG4P1vsWTP1
GSE43854	1	mutant (Gnptabc.3082insC)vswild-type
GSE45656	1	pre-osteoclastsvsMouse bone marrow macrophage
GSE45656	2	mature osteoclasts on platevspre-osteoclasts
GSE45656	3	mature resorbing osteoclasts on dentinvspre-osteoclasts
GSE45793	1	Adamts5Dcat DMM 6wkvsAdamts5Dcat Sham 6wk
GSE45793	2	Adamts5Dcat DMM 1wkvsAdamts5Dcat Sham 1wk
GSE45793	3	WT DMM 6wkvsWT Sham 6wk
GSE45793	4	WT DMM 2wkvsWT Sham 2wk
GSE45793	5	WT DMM 1wkvsWT Sham 1wk
GSE46390	1	CSF1vscontrol
GSE48438	1	Scl-tTA::TRE-BCR/ABLvsControl
GSE50549	1	SAHA2hrvsDMSO
GSE50549	2	SAHA6hrvsDMSO
GSE51098	1	Intermediate interzonevsouter interzone
GSE53857	1	X2.wks.post.surgery_treatedvsX2.wks.post.surgery_untreated
GSE53857	2	X4.wks.post.surgery_treatedvsX4.wks.post.surgery_untreated
GSE53857	3	X8.wks.post.surgery_treatedvsX8.wks.post.surgery_untreated
GSE53982	1	differentiating MC3T3-E1 cells treated with control scramble shRNAvsproliferating MC3T3-E1 cells treated with control scramble shRNA
GSE53982	2	differentiating MC3T3-E1 cells treated with Runx2-specific shRNAvsdifferentiating MC3T3-E1 cells treated with control scramble shRNA
GSE54779	1	Bone marrow monocytes treated with M-CSF and sRANKLvsBone marrow monocytes treated with M-CSF alone
GSE55900	1	Lrp5KOvsLrp5WT
GSE57104	1	Rs1 expressing osteoblastsvswild type osteoblasts
GSE59387	1	Dnmt3a knockoutvswild type
GSE60401	1	SXR_EtvsDsRed_Et
GSE60401	2	SXR_VK2vsDsRed_VK2
GSE60651	1	overexpressing A-CEBPvsoverexpressing GFP
GSE60737	1	overexpressing HES1vsoverexpressing GFP
GSE60761	1	genotype: wildtype.treatment: Calcitoninvsgenotype: wildtype.treatment: untreated
GSE60761	2	genotype: CalcrKO.treatment: Calcitoninvsgenotype: CalcrKO.treatment: untreated
GSE60761	3	genotype: CalcrKO.treatment: Calcitoninvsgenotype: wildtype.treatment: Calcitonin
GSE60761	4	genotype: CalcrKO.treatment: untreatedvsgenotype: wildtype.treatment: untreated
GSE63017	1	Pax1KOvsWT
GSE63017	2	Pax1HETvsWT
GSE63017	3	Pax1KOPax9KOvsWT
GSE63017	4	Pax1KOPax9HETvsWT
GSE63939	1	Osteoblastic in vitro differentiation of Kusa4b10 mouse cell line.vsKusa4b10 mouse cell line
GSE63939	2	Osteoblastic in vitro differentiation of Kusa4b10 mouse cell line.vsOsteosarcoma cell line
GSE64141	1	after 15 days of differentiation in chondrogenic mediavsprior to differentiation
GSE64965	1	X482.cells.Sox2shRNA.vsX482.cells.scrambledshRNA
GSE65745	1	X500.ng.ml.doxycyclinevsvehicle..control.
GSE65745	2	X10nM.E2vsvehicle..control.
GSE65745	3	X500.ng.ml.doxycycline.and.10nM.E2vsvehicle..control.
GSE66416	1	MC3T3-E1_over-expressing_periostinvsMC3T3-E1_empty_vector
GSE66554	1	newbornvsadult
GSE66554	2	youthvsadult
GSE66554	3	early-stage elderlyvsadult
GSE66554	4	latter-stage elderlyvsadult
GSE66862	1	Eed cKOvsWT
GSE69108	1	Nasal chondrocytevsRib Chondrocyte
GSE71565	1	differentiated for 12 daysvsdifferentiated for 5 days
GSE72261	1	Xbp1Cart{delta}Ex2 HZvsWt HZ
GSE72261	2	ColXN617K HZvsWt HZ
GSE72261	3	C/X HZvsWt HZ
GSE74898	1	cartilage, exercised for 2 daysvscartilage, control
GSE74898	2	cartilage, exercised for 5 daysvscartilage, control
GSE74898	3	cartilage, exercised for 15 daysvscartilage, control
GSE7683	1	DEX-treated embryonic primary chondrocyte cultures, incubated for 6vsDMSO-treated embryonic primary chondrocyte cultures, incubated for 6
GSE7683	2	DEX-treated embryonic primary chondrocyte cultures, incubated for 24vsDMSO-treated embryonic primary chondrocyte cultures, incubated for 24
GSE78980	1	TO+/+ 1g no treatmentvsTO+/+ 0g no treatment
GSE78980	2	TO+/+ 1g treatedvsTO+/+ 1g no treatment
GSE78980	3	TO+/+ 0g treatedvsTO+/+ 0g no treatment
GSE78980	4	TO-/- 1g no treatmentvsTO-/- 0g no treatment
GSE78980	5	TO-/- 1g treatedvsTO-/- 1g no treatment
GSE78980	6	TO-/- 0g treatedvsTO-/- 0g no treatment
GSE78980	7	TO-/- 1g no treatmentvsTO+/+ 1g no treatment
GSE78980	8	TO-/- 0g no treatmentvsTO+/+ 0g no treatment
GSE78980	9	TO-/- 1g treatedvsTO+/+ 1g treated
GSE78980	10	TO-/- 0g treatedvsTO+/+ 0g treated
GSE79176	1	low (0.01mg/ml) concentration of polyphosphatesvsnone (control)
GSE79176	2	high (1mg/ml) concentration of polyphosphatesvsnone (control)
GSE79176	3	high (1mg/ml) concentration of polyphosphatesvslow (0.01mg/ml) concentration of polyphosphates
GSE81399	1	FACS sorted Dmp1-Cre targeted CAR cells from mouse bone marrowvsFACS sorted Dmp1-Cre non-targeted CAR cells from mouse bone marrow
GSE84609	1	X100.ng.ml.rGDF11vsVehicle.control
GSE84907	1	pH7.8vspH7.4
GSE84907	2	pH8.4vspH7.4
GSE84907	3	pH8.4vspH7.8
GSE85785	1	leptin-inducedvshealthy control
GSE90127	1	osteoblasts in differentiation medium and cabozantinib for 30 daysvsundifferentiated mouse osteoblasts
GSE90127	2	osteoblasts in differentiation medium and cabozantinib for 30 daysvsdifferentiated 30 day mouse osteoblasts
GSE90127	3	differentiated 30 day mouse osteoblastsvsundifferentiated mouse osteoblasts
GSE9247	1	MS-275 treated MC3T3 micevsDMSO treated MC3T3 mice
GSE9247	2	TSA treated MC3T3 micevsDMSO treated MC3T3 mice
GSE9247	3	VPA treated MC3T3 micevsDMSO treated MC3T3 mice
GSE99306	1	X13delChopKO_LHZvsWT_LHZ
GSE99306	2	X13delChopKO_LHZvsX13del_LHZ
GSE99306	3	X13del_LHZvsWT_LHZ
GSE99306	4	X13delChopKO_MHZvsX13del_MHZ
GSE99306	5	X13delChopKO_pHZvsWT_pHZ
GSE99306	6	X13delChopKO_pHZvsX13del_pHZ
GSE99306	7	X13del_pHZvsWT_pHZ
GSE99306	8	X13delChopKO_PZvsWT_PZ
GSE99306	9	X13delChopKO_PZvsX13del_PZ
GSE99306	10	X13del_PZvsWT_PZ
GSE99306	11	X13delChopKO_UHZvsWT_UHZ
GSE99306	12	X13delChopKO_UHZvsX13del_UHZ
GSE99306	13	X13del_UHZvsWT_UHZ
GSE99414	1	Il15ra nullvsCtrl
E-ERAD-89	1	MELATONIN_6vsDMSO_6
E-ERAD-89	2	MELATONIN_24vsDMSO_24
E-ERAD-89	3	SEROTONIN_24vsDMSO_24
E-ERAD-89	4	MELATONIN_48vsDMSO_48
E-GEOD-45893	1	Osr1MutvsOsr1WT
E-GEOD-53105	1	diaphysis_KOvsdiaphysis_WT
E-GEOD-53105	2	metaphysis_KOvsmetaphysis_WT
E-GEOD-54461	1	Day4vsDay2
E-GEOD-54461	2	Day6vsDay2
E-GEOD-54461	3	Day8vsDay2
E-GEOD-54461	4	Day10vsDay2
E-GEOD-54461	5	Day12vsDay2
E-GEOD-54461	6	Day14vsDay2
E-GEOD-54461	7	Day16vsDay2
E-GEOD-54461	8	Day18vsDay2
E-GEOD-73372	1	P1vsE18.5
E-GEOD-73372	2	P3vsE18.5
E-GEOD-73372	3	P3vsP1
E-GEOD-75549	1	hdac3KOvsWT
E-GEOD-76988	1	STAT5_cKOvsSTAT5_WT
E-MTAB-2923	1	osteoblastvsimmature_osteoblast
E-MTAB-2923	2	immature_osteoblastvsosteoprogenitor
E-MTAB-2923	3	osteoblastvsosteoprogenitor
E-MTAB-2923	4	osteoblastvsmesenchymal_stem_cell
E-MTAB-3428	1	KO-5AMvsWT-5AM
E-MTAB-3428	2	KO-5PMvsWT-5PM
E-MTAB-3428	3	KO-9AMvsWT-9AM
E-MTAB-3428	4	KO-9PMvsWT-9PM
GSE102856	1	Senp6-MutvsWT
GSE103492	1	WT_Wnt3avsWT
GSE103492	2	Lrp5KOvsWT
GSE103492	3	Lrp5KO_Wnt3avsWT
GSE103492	4	Lrp5KO_Wnt3avsLrp5KO
GSE103492	5	Lrp6_KOvsLrp6_Ctl
GSE103492	6	Lrp6KO_Wnt3avsLrp6_Ctl
GSE103492	7	Lrp6KO_Wnt3avsLrp6_KO
GSE103492	8	Lrp5_6_KOvsLrp5_6_Ctl
GSE103492	9	Lrp5_6_KO_Wnt3avsLrp5_6_Ctl
GSE103492	10	Lrp5_6_KO_Wnt3avsLrp5_6_KO
GSE106259	1	CCL5vsControl
GSE23492	1	Cell culture of isolated chondrocytes from growth plate cartilage, day 20 of differentiationvsNative growth plate cartilage
GSE23492	2	Cell culture of isolated chondrocytes from growth plate cartilage, day 10 of differentiationvsNative growth plate cartilage
GSE23492	3	Cell culture of isolated chondrocytes from articular cartilage, day 20 of differentiationvsNative articular cartilage
GSE23492	4	Cell culture of isolated chondrocytes from articular cartilage, day 10 of differentiationvsNative articular cartilage
GSE23492	5	Native articular cartilagevsNative growth plate cartilage
GSE44991	1	cartilage tissue from the condylus medialis femoris.affectedvscartilage tissue from the condylus medialis femoris.non-affected
GSE44991	2	cartilage tissue from the medial part of condylus humeri.affectedvscartilage tissue from the medial part of condylus humeri.non-affected
GSE39796	1	cartilage, superficial zonevscartilage, deep zone
GSE39796	2	cartilage, middle zonevscartilage, deep zone
GSE39796	3	cartilage, superficial zonevscartilage, middle zone
GSE18394	1	chondrocytes_day28vsMSC_day0
GSE18394	2	chondrocytes_day28vsMSC_day28
GSE18394	3	MSC_day28vsMSC_day0
GSE29233	1	TGFb treatedvsUntreated
E-MEXP-2291	1	nucleus pulposusvsarticular cartilage
E-MEXP-2291	2	annulus fibrosusvsarticular cartilage
E-MEXP-2291	3	nucleus pulposusvsannulus fibrosus
GSE110581	1	Zfp36l1 shRNA AdenovirusvsNull Control Adenovirus
GSE110581	2	Zfp36l1 AdenovirusvsNull Control Adenovirus
GSE47799	1	meniscusvsarticular cartilage
GSE47799	2	meniscusvscruciate ligament
GSE47799	3	cruciate ligamentvsarticular cartilage
E-MTAB-5879	1	Injury.Day7vsControl.Day0
E-MTAB-5879	2	Injury.Day28vsControl.Day0
E-MTAB-5879	3	InjuryReconstruct.Day7vsControl.Day0
E-MTAB-5879	4	InjuryReconstruct.Day28vsControl.Day0
E-MTAB-5879	5	InjuryRepair.Day7vsControl.Day0
E-MTAB-5879	6	InjuryRepair.Day28vsControl.Day0
E-MTAB-5879	7	InjuryRepair.Day28vsInjury.Day28
E-MTAB-5879	8	InjuryReconstruct.Day28vsInjury.Day28
E-MTAB-5879	9	InjuryRepair.Day7vsInjury.Day7
E-MTAB-5879	10	InjuryReconstruct.Day7vsInjury.Day7
E-MTAB-4294	1	synovitisvsControl
E-MTAB-4294	2	synovitis_with_corticosteroidvsControl
E-MTAB-4294	3	synovitis_with_corticosteroidvssynovitis
E-MTAB-3186	1	Day1vsControl
E-MTAB-3186	2	Day5vsControl
E-MTAB-3186	3	Day9vsControl
E-MTAB-3186	4	Day14vsControl
GSE110303	1	WT_PlbvsWT_E2
GSE110303	2	KO_PlbvsWT_Plb
GSE110303	3	KO_E2vsWT_E2
GSE110300	1	WT_PlbvsWT_E2
GSE110300	2	KO_PlbvsWT_Plb
GSE110300	3	KO_E2vsWT_E2
GSE110281	1	Sox9PosvsLrg5Pos
GSE110281	2	Sox9PosvsLrg5Neg
GSE110281	3	Lrg5PosvsLrg5Neg
GSE104459	1	E12.5_Pitx_KOvsE12.5WT
GSE104459	2	E11.5_Pitx_KOvsE11.5WT
GSE104459	3	E9.5_Pitx_KOvsE9.5WT
GSE110051	1	Mature_cartilagevsImmature_cartilage
GSE110051	2	BonevsMature_cartilage
GSE110051	3	BonevsImmature_cartilage
GSE111628	1	ovariectomizedvssham surgery
GSE111628	2	ovariectomized mice with treadmill trainingvsovariectomized
GSE111628	3	ovariectomized mice with treadmill trainingvssham surgery
GSE5657	1	Hyp malevsNormal male
GSE5657	2	Hyp femalevsNormal female
GSE13782	1	InflamedvsNormal
GSE41039	1	proteoglycan-induced spondylitisvsnone (Control)
GSE112694	1	Zfp384KO_3DayvsWT_3Days
GSE112694	2	Zfp384KO_7DayvsWT_7Days
GSE112694	3	WT_7DaysvsWT_3Days
GSE112694	4	Zfp384KO_7DayvsZfp384KO_3Day
GSE84198	1	Ezh2 KO proximal tibia PZvsWT proximal tibia PZ
GSE84198	2	Ezh2 KO proximal tibia HZvsWT proximal tibia HZ
GSE84198	3	WT proximal tibia PZvsWT proximal tibia HZ
GSE114469	1	Y1 deficient mousevsWT mouse
GSE108036	1	ANP32A KOvsWild.type
GSE97232	1	p21 misexpressionvsControl
GSE114079	1	SMAD3KO_E11.5vsWT_E11.5
GSE114079	2	SMAD3KO_E12.5vsWT_E12.5
GSE114079	3	SMAD3KO_E13.5vsWT_E13.5
GSE114079	4	SMAD3KO_E14.5vsWT_E14.5
GSE104828	1	Tet2KOvsWT
GSE114521	1	Sox9null_E11.5vsControl_E11.5
GSE114521	2	Sox9null_E12.5vsControl_E12.5
GSE112413	1	Mutant_SkullvsWT_Skull
GSE112413	2	WT_Cranial_BasevsWT_Skull
GSE101909	1	E14.5_Fgf8vsE14.5_Ctrl
GSE101909	2	E16.5_Fgf8vsE16.5_Ctrl
GSE114919	1	Phalanx_PZ_1wkvsPhalanx_HZ_1wk
GSE114919	2	Tibia_PZ_4wkvsTibia_PZ_1wk
GSE114919	3	Tibia_PZ_4wkvsTibia_HZ_4wk
GSE114919	4	Tibia_PZ_1wkvsTibia_HZ_1wk
GSE114919	5	Tibia_HZ_4wkvsTibia_HZ_1wk
GSE60451	1	TIMPlessvswild type
GSE47902	1	SHOX transgenevswildtype
GSE44325	1	Sost-/-; Sostdc1-/-vswild-type
GSE4481	1	R/P.CNP at 10exp(-6) MvsR/P.vehicle: BSA/HCL 1.0 Mm
GSE4481	2	H.CNP at 10exp(-6) MvsH.vehicle: BSA/HCL 1.0 Mm
GSE4481	3	M.CNP at 10exp(-6) MvsM.vehicle: BSA/HCL 1.0 Mm
GSE102292	1	15 daysvs12 days
GSE102292	2	12 daysvs9 days
GSE102292	3	9 daysvs6 days
GSE102292	4	6 daysvs2 days
GSE114919_Rat	1	Phalanx_PZ_1wkvsPhalanx_HZ_1wk
GSE114919_Rat	2	Tibia_PZ_4wkvsTibia_PZ_1wk
GSE114919_Rat	3	Tibia_PZ_4wkvsTibia_HZ_4wk
GSE114919_Rat	4	Tibia_PZ_1wkvsTibia_HZ_1wk
GSE114919_Rat	5	Tibia_HZ_4wkvsTibia_HZ_1wk
GSE41898	1	Lkb1 mutant micevscontrol mice
GSE18738	1	hypertrophic zonevsreserve zone
GSE87605	1	Hypertrophic cell layervsFlat cell layer
GSE87605	2	Flat cell layervsRound cell layer
GSE87605	3	Hypertrophic cell layervsRound cell layer
GSE16981	1	Hypertrophic zone.1 weekvsProliferative zone.1 week
GSE16981	2	Resting zone.1 weekvsProliferative zone.1 week
GSE16981	3	Hypertrophic zone.1 weekvsResting zone.1 week
GSE16981	4	Hypertrophic zone.1 weekvsResting zone.1 week
GSE16981	5	Proliferative and early hypertrophic zone.6weeksvsProliferative and early hypertrophic zone.3weeks
GSE16981	6	Proliferative and early hypertrophic zone.9weeksvsProliferative and early hypertrophic zone.6weeks
GSE16981	7	Proliferative and early hypertrophic zone.12weeksvsProliferative and early hypertrophic zone.9weeks
GSE29859	1	CorticalBone_ExcessVitAvsCorticalBone_Control
GSE29859	2	CorticalBone.Marrow_ExcessVitAvsCorticalBone.Marrow_Control
GSE121780	1	Apert syndrome_mandibular bonevscontrol_mandibular bone
GSE121780	2	Apert syndrome_Meckel's cartilagevscontrol_Meckel's cartilage
GSE121780	3	Apert syndrome_mandibular condylar cartilagevscontrol_mandibular condylar cartilage
GSE104473	1	Mandibular Distraction_10_BCSPvsMandibular Fracture_10_BCSP
GSE104473	2	Mandibular Distraction_10_OPvsMandibular Fracture_10_OP
GSE104473	3	Mandibular Distraction_10_SSCvsMandibular Fracture_10_SSC
GSE104473	4	Mandibular Distraction_15_BCSPvsMandibular Fracture_15_BCSP
GSE104473	5	Mandibular Distraction_15_OPvsMandibular Fracture_15_OP
GSE104473	6	Mandibular Fracture_15_SSCvsMandibular Distraction_15_SSC
GSE121033	1	Lentiviruses expressing LucvsNon surgery
GSE121033	2	Lentiviruses expressing PC2vsNon surgery
GSE108721	1	WT_RANKLvsWT_Basal
GSE108721	2	Mir182Loss_BasalvsWT_Basal
GSE108721	3	Mir182Gain_BasalvsWT_Basal
GSE108721	4	Mir182Loss_RANKLvsWT_RANKL
E-MTAB-6417	1	bone marrow.fracturevsbone marrow.none
E-MTAB-6417	2	periosteum.fracturevsperiosteum.none
E-MTAB-6417	3	periosteum.fracturevsbone marrow.fracture
E-MTAB-6417	4	periosteum.nonevsbone marrow.none
GSE120308	1	P5 Xbp1 KOvsP5 Xbp1 WT
GSE120308	2	P5 Xbp1 WT Matn3 MUTvsP5 Xbp1 KO Matn3 MUT
GSE120308	3	P5 Xbp1 KO Matn3 MUTvsP5 Xbp1 KO
GSE120308	4	P5 Xbp1 WT Matn3 MUTvsP5 Xbp1 WT
GSE115084	1	Flcn targeted siRNA transfectedvsscramble siRNA transfected
E-GEOD-8488	1	LYvsDMSO
E-GEOD-8488	2	UO126vsDMSO
E-GEOD-8488	3	SB90vsDMSO
E-GEOD-8488	4	TSAvsDMSO
E-MTAB-6857	1	FournucleivsTwonuclei
GSE112641	1	Injured_MRL_MpJ_1_day_post_injuryvsUninjured_MRL_MpJ_1_day_post_injury
GSE112641	2	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury
GSE112641	3	Injured_STR_ort_1_day_post_injuryvsUninjured_STR_ort_1_day_post_injury
GSE112641	4	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury
GSE112641	5	Injured_C57BL_6_1_week_post_injuryvsUninjured_C57BL_6_1_week_post_injury
GSE112641	6	Injured_STR_ort_1_week_post_injuryvsUninjured_STR_ort_1_week_post_injury
GSE112641	7	Injured_MRL_MpJ_2_weeks_post_injuryvsUninjured_MRL_MpJ_2_weeks_post_injury
GSE112641	8	Injured_C57BL_6_2_weeks_post_injuryvsUninjured_C57BL_6_2_weeks_post_injury
