mouseID	HumanID	mouseGeneSymbol	HumanGeneSymbol
ENSMUSG00000105200	ENSG00000199047	Mir378a	MIR378A
ENSMUSG00000084517	ENSG00000207523	Gm22480	SNORA66
ENSMUSG00000065041	ENSG00000206760	Gm24044	SNORA6
ENSMUSG00000065145	ENSG00000278815	Vaultrc5	RF00006
ENSMUSG00000098846	ENSG00000277124	Gm27905	RF01888
ENSMUSG00000065160	ENSG00000251878	Mir5117	RF00152
ENSMUSG00000106465	ENSG00000199168	Mir374c	MIR374A
ENSMUSG00000099332	ENSG00000274547	Gm27502	RF02251
ENSMUSG00000069622	ENSG00000265354	Gm10273	TIMM23
ENSMUSG00000024521	ENSG00000141682	Pmaip1	PMAIP1
ENSMUSG00000095118	ENSG00000207118	Snord14d	SNORD14D
ENSMUSG00000088106	ENSG00000199803	Gm22378	RNU6-1159P
ENSMUSG00000065553	ENSG00000199035	Mir103-1	MIR103A1
ENSMUSG00000084447	ENSG00000252352	Gm26251	RF00561
ENSMUSG00000024669	ENSG00000110448	Cd5	CD5
ENSMUSG00000065293	ENSG00000223302	Gm26124	RF00019
ENSMUSG00000088966	ENSG00000199392	Gm22088	RF00402
ENSMUSG00000096605	ENSG00000201907	Gm26200	SNORD115-38
ENSMUSG00000094610	ENSG00000201907	Gm23076	SNORD115-38
ENSMUSG00000095182	ENSG00000201907	Gm26374	SNORD115-38
ENSMUSG00000095501	ENSG00000201907	Gm22449	SNORD115-38
ENSMUSG00000096648	ENSG00000201907	Gm24027	SNORD115-38
ENSMUSG00000096185	ENSG00000201907	Gm23305	SNORD115-38
ENSMUSG00000095418	ENSG00000201907	Gm23922	SNORD115-38
ENSMUSG00000094998	ENSG00000201907	Gm22050	SNORD115-38
ENSMUSG00000096048	ENSG00000201907	Gm22510	SNORD115-38
ENSMUSG00000094048	ENSG00000201907	Gm26284	SNORD115-38
ENSMUSG00000095428	ENSG00000201907	Gm24418	SNORD115-38
ENSMUSG00000093958	ENSG00000201907	Gm24495	SNORD115-38
ENSMUSG00000094095	ENSG00000201907	Gm25648	SNORD115-38
ENSMUSG00000096496	ENSG00000201907	Gm25646	SNORD115-38
ENSMUSG00000095997	ENSG00000201907	Gm24702	SNORD115-38
ENSMUSG00000095357	ENSG00000201907	Gm23286	SNORD115-38
ENSMUSG00000094765	ENSG00000201907	Gm25523	SNORD115-38
ENSMUSG00000094723	ENSG00000201907	Gm23356	SNORD115-38
ENSMUSG00000096324	ENSG00000201907	Gm26336	SNORD115-38
ENSMUSG00000094609	ENSG00000201907	Gm25870	SNORD115-38
ENSMUSG00000096046	ENSG00000201907	Gm24969	SNORD115-38
ENSMUSG00000096821	ENSG00000201907	Gm24570	SNORD115-38
ENSMUSG00000095828	ENSG00000201907	Gm25449	SNORD115-38
ENSMUSG00000094548	ENSG00000201907	Gm25221	SNORD115-38
ENSMUSG00000096067	ENSG00000201907	Gm23682	SNORD115-38
ENSMUSG00000094753	ENSG00000201907	Gm25017	SNORD115-38
ENSMUSG00000096041	ENSG00000201907	Gm22511	SNORD115-38
ENSMUSG00000095924	ENSG00000201907	Gm24040	SNORD115-38
ENSMUSG00000095911	ENSG00000201907	Gm24528	SNORD115-38
ENSMUSG00000096328	ENSG00000201907	Gm26337	SNORD115-38
ENSMUSG00000094032	ENSG00000201907	Gm24654	SNORD115-38
ENSMUSG00000094631	ENSG00000201907	Gm24220	SNORD115-38
ENSMUSG00000094093	ENSG00000201907	Gm25647	SNORD115-38
ENSMUSG00000096281	ENSG00000201907	Gm22255	SNORD115-38
ENSMUSG00000096306	ENSG00000201907	Gm25209	SNORD115-38
ENSMUSG00000094625	ENSG00000201907	Gm22524	SNORD115-38
ENSMUSG00000094912	ENSG00000201907	Gm26392	SNORD115-38
ENSMUSG00000094283	ENSG00000201907	Gm26434	SNORD115-38
ENSMUSG00000096430	ENSG00000201907	Gm22130	SNORD115-38
ENSMUSG00000094554	ENSG00000201907	Gm22391	SNORD115-38
ENSMUSG00000094567	ENSG00000201907	Gm25230	SNORD115-38
ENSMUSG00000088910	ENSG00000206710	Gm22608	RNU6-147P
ENSMUSG00000064772	ENSG00000275616	Gm25202	RF00004
ENSMUSG00000064856	ENSG00000275616	Gm23444	RF00004
ENSMUSG00000065944	ENSG00000275616	Rnu2-10	RF00004
ENSMUSG00000094655	ENSG00000275616	Gm25360	RF00004
ENSMUSG00000093956	ENSG00000275616	Gm24497	RF00004
ENSMUSG00000093843	ENSG00000275616	Gm25939	RF00004
ENSMUSG00000039529	ENSG00000081923	Atp8b1	ATP8B1
ENSMUSG00000089074	ENSG00000212221	Gm23817	RNU6-220P
ENSMUSG00000054237	ENSG00000148690	Fra10ac1	FRA10AC1
ENSMUSG00000088106	ENSG00000201180	Gm22378	RNU6-115P
ENSMUSG00000098828	ENSG00000277809	Gm27283	RF02249
ENSMUSG00000065625	ENSG00000201789	Gm24765	RNU6-1071P
ENSMUSG00000065231	ENSG00000212593	Gm22972	RF00072
ENSMUSG00000080364	ENSG00000221643	Gm25777	SNORA77
ENSMUSG00000088506	ENSG00000252561	Gm24409	RNU1-125P
ENSMUSG00000064565	ENSG00000252561	Gm24145	RNU1-125P
ENSMUSG00000093074	ENSG00000252561	Gm25949	RNU1-125P
ENSMUSG00000096605	ENSG00000200812	Gm26200	SNORD115-6
ENSMUSG00000094610	ENSG00000200812	Gm23076	SNORD115-6
ENSMUSG00000095182	ENSG00000200812	Gm26374	SNORD115-6
ENSMUSG00000095501	ENSG00000200812	Gm22449	SNORD115-6
ENSMUSG00000096648	ENSG00000200812	Gm24027	SNORD115-6
ENSMUSG00000096185	ENSG00000200812	Gm23305	SNORD115-6
ENSMUSG00000095418	ENSG00000200812	Gm23922	SNORD115-6
ENSMUSG00000094998	ENSG00000200812	Gm22050	SNORD115-6
ENSMUSG00000096048	ENSG00000200812	Gm22510	SNORD115-6
ENSMUSG00000094048	ENSG00000200812	Gm26284	SNORD115-6
ENSMUSG00000095428	ENSG00000200812	Gm24418	SNORD115-6
ENSMUSG00000093958	ENSG00000200812	Gm24495	SNORD115-6
ENSMUSG00000094095	ENSG00000200812	Gm25648	SNORD115-6
ENSMUSG00000096496	ENSG00000200812	Gm25646	SNORD115-6
ENSMUSG00000095997	ENSG00000200812	Gm24702	SNORD115-6
ENSMUSG00000095357	ENSG00000200812	Gm23286	SNORD115-6
ENSMUSG00000094765	ENSG00000200812	Gm25523	SNORD115-6
ENSMUSG00000094723	ENSG00000200812	Gm23356	SNORD115-6
ENSMUSG00000096324	ENSG00000200812	Gm26336	SNORD115-6
ENSMUSG00000094609	ENSG00000200812	Gm25870	SNORD115-6
ENSMUSG00000096046	ENSG00000200812	Gm24969	SNORD115-6
ENSMUSG00000096821	ENSG00000200812	Gm24570	SNORD115-6
ENSMUSG00000095828	ENSG00000200812	Gm25449	SNORD115-6
ENSMUSG00000094548	ENSG00000200812	Gm25221	SNORD115-6
ENSMUSG00000096067	ENSG00000200812	Gm23682	SNORD115-6
ENSMUSG00000094753	ENSG00000200812	Gm25017	SNORD115-6
ENSMUSG00000096041	ENSG00000200812	Gm22511	SNORD115-6
ENSMUSG00000095924	ENSG00000200812	Gm24040	SNORD115-6
ENSMUSG00000095911	ENSG00000200812	Gm24528	SNORD115-6
ENSMUSG00000096328	ENSG00000200812	Gm26337	SNORD115-6
ENSMUSG00000094032	ENSG00000200812	Gm24654	SNORD115-6
ENSMUSG00000094631	ENSG00000200812	Gm24220	SNORD115-6
ENSMUSG00000094093	ENSG00000200812	Gm25647	SNORD115-6
ENSMUSG00000096281	ENSG00000200812	Gm22255	SNORD115-6
ENSMUSG00000096306	ENSG00000200812	Gm25209	SNORD115-6
ENSMUSG00000094625	ENSG00000200812	Gm22524	SNORD115-6
ENSMUSG00000094912	ENSG00000200812	Gm26392	SNORD115-6
ENSMUSG00000094283	ENSG00000200812	Gm26434	SNORD115-6
ENSMUSG00000096430	ENSG00000200812	Gm22130	SNORD115-6
ENSMUSG00000094554	ENSG00000200812	Gm22391	SNORD115-6
ENSMUSG00000094567	ENSG00000200812	Gm25230	SNORD115-6
ENSMUSG00000094508	ENSG00000200812	Gm26230	SNORD115-6
ENSMUSG00000065658	ENSG00000252390	Gm23102	RNU5F-4P
ENSMUSG00000088144	ENSG00000206634	Gm24559	SNORA22
ENSMUSG00000050623	ENSG00000219435	Catsperz	CATSPERZ
ENSMUSG00000064630	ENSG00000207364	Gm25143	RNU6-939P
ENSMUSG00000098484	ENSG00000276609	Gm27280	RF02040
ENSMUSG00000024381	ENSG00000136717	Bin1	BIN1
ENSMUSG00000098435	ENSG00000278334	Gm27492	RF02138
ENSMUSG00000077666	ENSG00000200745	Gm26146	RNU1-31P
ENSMUSG00000080478	ENSG00000221803	Snord23	SNORD23
ENSMUSG00000096280	ENSG00000201801	Gm23287	RNU5E-4P
ENSMUSG00000099143	ENSG00000273532	Gm27483	RF01972
ENSMUSG00000084589	ENSG00000273744	Gm25176	RF00015
ENSMUSG00000065497	ENSG00000199092	Mir410	MIR410
ENSMUSG00000065259	ENSG00000200063	Snora30	RF00415
ENSMUSG00000051490	ENSG00000204779	Foxd4	FOXD4L5
ENSMUSG00000092974	ENSG00000274008	Gm25072	RF00017
ENSMUSG00000092905	ENSG00000274008	Gm25735	RF00017
ENSMUSG00000093345	ENSG00000274008	Gm27956	RF00017
ENSMUSG00000098690	ENSG00000274008	Gm27316	RF00017
ENSMUSG00000064377	ENSG00000212380	Gm24966	SNORD115-45
ENSMUSG00000094275	ENSG00000206772	Gm22290	RNU6-44P
ENSMUSG00000088573	ENSG00000252797	Gm24530	RN7SKP272
ENSMUSG00000099252	ENSG00000276730	Gm27265	RF02275
ENSMUSG00000105288	ENSG00000280466	Gm25820	SCARNA4
ENSMUSG00000104857	ENSG00000280466	Gm26413	SCARNA4
ENSMUSG00000105450	ENSG00000280466	Gm22813	SCARNA4
ENSMUSG00000106489	ENSG00000280466	Gm23370	SCARNA4
ENSMUSG00000024234	ENSG00000107951	Mtpap	MTPAP
ENSMUSG00000065028	ENSG00000207177	Gm25200	RF00432
ENSMUSG00000065658	ENSG00000252521	Gm23102	RNU5D-2P
ENSMUSG00000071528	ENSG00000173915	Usmg5	ATP5MD
ENSMUSG00000097052	ENSG00000253049	Snora43	RF00416
ENSMUSG00000064772	ENSG00000277903	Gm25202	RF00004
ENSMUSG00000064856	ENSG00000277903	Gm23444	RF00004
ENSMUSG00000065944	ENSG00000277903	Rnu2-10	RF00004
ENSMUSG00000094655	ENSG00000277903	Gm25360	RF00004
ENSMUSG00000093956	ENSG00000277903	Gm24497	RF00004
ENSMUSG00000093843	ENSG00000277903	Gm25939	RF00004
ENSMUSG00000065519	ENSG00000284038	Mir10a	MIR10A
ENSMUSG00000064390	ENSG00000201264	Rnu73b	SNORD73B
ENSMUSG00000041491	ENSG00000148019	Cep78	CEP78
ENSMUSG00000087938	ENSG00000238420	Gm26049	RNU6-437P
ENSMUSG00000089149	ENSG00000222705	Gm22282	RN7SKP39
ENSMUSG00000096645	ENSG00000147059	Spin2e	SPIN2A
ENSMUSG00000094115	ENSG00000147059	Spin2-ps6	SPIN2A
ENSMUSG00000094601	ENSG00000147059	Gm5926	SPIN2A
ENSMUSG00000064601	ENSG00000222796	Gm25634	RNU6-383P
ENSMUSG00000041238	ENSG00000101773	Rbbp8	RBBP8
ENSMUSG00000077391	ENSG00000212175	Gm24336	RF00586
ENSMUSG00000077497	ENSG00000212608	Gm23593	RF00568
ENSMUSG00000092915	ENSG00000207605	Gm24083	MIR191
ENSMUSG00000064596	ENSG00000207022	Gm22298	RF00432
ENSMUSG00000088208	ENSG00000253085	Gm23751	RF00564
ENSMUSG00000088183	ENSG00000252073	Gm22215	RNU6-947P
ENSMUSG00000084744	ENSG00000252228	Gm25291	RF00554
ENSMUSG00000088266	ENSG00000252228	Gm24782	RF00554
ENSMUSG00000087800	ENSG00000252228	Gm25569	RF00554
ENSMUSG00000087810	ENSG00000252228	Gm25113	RF00554
ENSMUSG00000084708	ENSG00000252228	Gm22988	RF00554
ENSMUSG00000087991	ENSG00000222880	Gm25057	RN7SKP261
ENSMUSG00000024781	ENSG00000107798	Lipa	LIPA
ENSMUSG00000065773	ENSG00000201183	Rnu1b6	RNVU1-3
ENSMUSG00000095580	ENSG00000201183	Rnu1b1	RNVU1-3
ENSMUSG00000080430	ENSG00000221269	Gm24275	MIR1302-8
ENSMUSG00000070720	ENSG00000253304	Tmem200b	TMEM200B
ENSMUSG00000098795	ENSG00000276074	Gm27403	RF01951
ENSMUSG00000065798	ENSG00000252475	Gm25518	RNU6-1332P
ENSMUSG00000065943	ENSG00000253021	Gm23794	RNU6-902P
ENSMUSG00000065733	ENSG00000253021	Gm24491	RNU6-902P
ENSMUSG00000089257	ENSG00000252414	Gm25718	RNU6-100P
ENSMUSG00000064772	ENSG00000273709	Gm25202	RF00004
ENSMUSG00000064856	ENSG00000273709	Gm23444	RF00004
ENSMUSG00000065944	ENSG00000273709	Rnu2-10	RF00004
ENSMUSG00000094655	ENSG00000273709	Gm25360	RF00004
ENSMUSG00000093956	ENSG00000273709	Gm24497	RF00004
ENSMUSG00000093843	ENSG00000273709	Gm25939	RF00004
ENSMUSG00000034371	ENSG00000149476	Tkfc	TKFC
ENSMUSG00000089003	ENSG00000206695	Gm23854	RNU6-442P
ENSMUSG00000098891	ENSG00000275971	Gm27753	RF01967
ENSMUSG00000077497	ENSG00000212517	Gm23593	RF00568
ENSMUSG00000024253	ENSG00000138036	Dync2li1	DYNC2LI1
ENSMUSG00000093784	ENSG00000264452	Gm22394	RF00285
ENSMUSG00000087987	ENSG00000200648	Gm22221	RNU6-226P
ENSMUSG00000064545	ENSG00000201036	Gm22981	RF00181
ENSMUSG00000064791	ENSG00000200879	Snord14e	SNORD14E
ENSMUSG00000088750	ENSG00000212316	Gm24901	RNU6-1228P
ENSMUSG00000096605	ENSG00000201143	Gm26200	SNORD115-42
ENSMUSG00000094610	ENSG00000201143	Gm23076	SNORD115-42
ENSMUSG00000095182	ENSG00000201143	Gm26374	SNORD115-42
ENSMUSG00000095501	ENSG00000201143	Gm22449	SNORD115-42
ENSMUSG00000096648	ENSG00000201143	Gm24027	SNORD115-42
ENSMUSG00000096185	ENSG00000201143	Gm23305	SNORD115-42
ENSMUSG00000095418	ENSG00000201143	Gm23922	SNORD115-42
ENSMUSG00000094998	ENSG00000201143	Gm22050	SNORD115-42
ENSMUSG00000096048	ENSG00000201143	Gm22510	SNORD115-42
ENSMUSG00000094048	ENSG00000201143	Gm26284	SNORD115-42
ENSMUSG00000095428	ENSG00000201143	Gm24418	SNORD115-42
ENSMUSG00000093958	ENSG00000201143	Gm24495	SNORD115-42
ENSMUSG00000094095	ENSG00000201143	Gm25648	SNORD115-42
ENSMUSG00000096496	ENSG00000201143	Gm25646	SNORD115-42
ENSMUSG00000095997	ENSG00000201143	Gm24702	SNORD115-42
ENSMUSG00000095357	ENSG00000201143	Gm23286	SNORD115-42
ENSMUSG00000094765	ENSG00000201143	Gm25523	SNORD115-42
ENSMUSG00000094723	ENSG00000201143	Gm23356	SNORD115-42
ENSMUSG00000096324	ENSG00000201143	Gm26336	SNORD115-42
ENSMUSG00000094609	ENSG00000201143	Gm25870	SNORD115-42
ENSMUSG00000096046	ENSG00000201143	Gm24969	SNORD115-42
ENSMUSG00000096821	ENSG00000201143	Gm24570	SNORD115-42
ENSMUSG00000095828	ENSG00000201143	Gm25449	SNORD115-42
ENSMUSG00000094548	ENSG00000201143	Gm25221	SNORD115-42
ENSMUSG00000096067	ENSG00000201143	Gm23682	SNORD115-42
ENSMUSG00000094753	ENSG00000201143	Gm25017	SNORD115-42
ENSMUSG00000096041	ENSG00000201143	Gm22511	SNORD115-42
ENSMUSG00000095924	ENSG00000201143	Gm24040	SNORD115-42
ENSMUSG00000095911	ENSG00000201143	Gm24528	SNORD115-42
ENSMUSG00000096328	ENSG00000201143	Gm26337	SNORD115-42
ENSMUSG00000094032	ENSG00000201143	Gm24654	SNORD115-42
ENSMUSG00000094631	ENSG00000201143	Gm24220	SNORD115-42
ENSMUSG00000094093	ENSG00000201143	Gm25647	SNORD115-42
ENSMUSG00000096281	ENSG00000201143	Gm22255	SNORD115-42
ENSMUSG00000096306	ENSG00000201143	Gm25209	SNORD115-42
ENSMUSG00000094625	ENSG00000201143	Gm22524	SNORD115-42
ENSMUSG00000094912	ENSG00000201143	Gm26392	SNORD115-42
ENSMUSG00000094283	ENSG00000201143	Gm26434	SNORD115-42
ENSMUSG00000096430	ENSG00000201143	Gm22130	SNORD115-42
ENSMUSG00000094554	ENSG00000201143	Gm22391	SNORD115-42
ENSMUSG00000094567	ENSG00000201143	Gm25230	SNORD115-42
ENSMUSG00000094508	ENSG00000201143	Gm26230	SNORD115-42
ENSMUSG00000032735	ENSG00000173210	Ablim3	ABLIM3
ENSMUSG00000088760	ENSG00000238456	Gm24393	RNU6-1014P
ENSMUSG00000024958	ENSG00000173264	Gpr137	GPR137
ENSMUSG00000024552	ENSG00000132874	Slc14a2	SLC14A2
ENSMUSG00000047656	ENSG00000149743	Trpt1	TRPT1
ENSMUSG00000053375	ENSG00000250565	Atp6v1e2	ATP6V1E2
ENSMUSG00000065604	ENSG00000283797	Mir29b-1	MIR29B1
ENSMUSG00000087756	ENSG00000252063	Gm23469	RNU6-1041P
ENSMUSG00000088993	ENSG00000252063	Gm22770	RNU6-1041P
ENSMUSG00000095389	ENSG00000207001	Gm23953	SNORD116-2
ENSMUSG00000094274	ENSG00000207001	Snord116l12	SNORD116-2
ENSMUSG00000096070	ENSG00000207001	Gm25350	SNORD116-2
ENSMUSG00000096110	ENSG00000207001	Gm26270	SNORD116-2
ENSMUSG00000095045	ENSG00000207001	Gm22851	SNORD116-2
ENSMUSG00000096082	ENSG00000207001	Gm24711	SNORD116-2
ENSMUSG00000096845	ENSG00000207001	Gm25597	SNORD116-2
ENSMUSG00000096057	ENSG00000207001	Gm25944	SNORD116-2
ENSMUSG00000096868	ENSG00000207001	Gm22258	SNORD116-2
ENSMUSG00000094039	ENSG00000207001	Snord116l5	SNORD116-2
ENSMUSG00000094060	ENSG00000207001	Gm25157	SNORD116-2
ENSMUSG00000096462	ENSG00000207001	Gm22812	SNORD116-2
ENSMUSG00000095060	ENSG00000207001	Gm26188	SNORD116-2
ENSMUSG00000094109	ENSG00000207001	Gm22776	SNORD116-2
ENSMUSG00000094573	ENSG00000207001	Snord116l13	SNORD116-2
ENSMUSG00000095100	ENSG00000207001	Gm22128	SNORD116-2
ENSMUSG00000095691	ENSG00000207001	Snord116l11	SNORD116-2
ENSMUSG00000094150	ENSG00000207001	Gm23265	SNORD116-2
ENSMUSG00000095349	ENSG00000207001	Gm26097	SNORD116-2
ENSMUSG00000095479	ENSG00000207001	Gm25074	SNORD116-2
ENSMUSG00000096475	ENSG00000207001	Snord116l1	SNORD116-2
ENSMUSG00000095458	ENSG00000207001	Snord116l8	SNORD116-2
ENSMUSG00000087909	ENSG00000222713	Gm22035	RN7SKP51
ENSMUSG00000065488	ENSG00000207924	Mir196a-2	MIR196A2
ENSMUSG00000087938	ENSG00000252943	Gm26049	RNU6-264P
ENSMUSG00000099205	ENSG00000207121	Gm27944	RNU6-1230P
ENSMUSG00000065259	ENSG00000202189	Snora30	SNORA30B
ENSMUSG00000065513	ENSG00000199075	Mir26a-1	MIR26A1
ENSMUSG00000088995	ENSG00000251813	Gm22764	RNU6-983P
ENSMUSG00000089141	ENSG00000252794	Gm23409	RN7SKP60
ENSMUSG00000088797	ENSG00000252794	Gm22537	RN7SKP60
ENSMUSG00000064801	ENSG00000201746	Gm24035	RNU6-828P
ENSMUSG00000092974	ENSG00000277950	Gm25072	RF00017
ENSMUSG00000092905	ENSG00000277950	Gm25735	RF00017
ENSMUSG00000093345	ENSG00000277950	Gm27956	RF00017
ENSMUSG00000098690	ENSG00000277950	Gm27316	RF00017
ENSMUSG00000088385	ENSG00000251804	Gm24689	RNU6-1294P
ENSMUSG00000048572	ENSG00000181778	Tmem252	TMEM252
ENSMUSG00000088979	ENSG00000207249	Gm23758	RF00139
ENSMUSG00000088712	ENSG00000249784	Gm22728	SCARNA22
ENSMUSG00000025226	ENSG00000107872	Fbxl15	FBXL15
ENSMUSG00000065919	ENSG00000206681	Gm24449	RNU6-730P
ENSMUSG00000037603	ENSG00000136159	Gm5519	NUDT15
ENSMUSG00000071862	ENSG00000146006	Lrrtm2	LRRTM2
ENSMUSG00000064377	ENSG00000276844	Gm24966	SNORD115-46
ENSMUSG00000098709	ENSG00000275161	Gm27528	RF01928
ENSMUSG00000099000	ENSG00000252823	Gm27659	RNU6-148P
ENSMUSG00000084557	ENSG00000222790	Gm25279	RNU4-14P
ENSMUSG00000064952	ENSG00000199411	Gm24920	RF00153
ENSMUSG00000094889	ENSG00000252906	Gm25119	SCARNA3
ENSMUSG00000089536	ENSG00000252906	Scarna3a	SCARNA3
ENSMUSG00000088146	ENSG00000252906	Gm24718	SCARNA3
ENSMUSG00000088158	ENSG00000252906	Scarna3b	SCARNA3
ENSMUSG00000089375	ENSG00000276314	Snord107	SNORD107
ENSMUSG00000077639	ENSG00000252045	Gm22772	RF00438
ENSMUSG00000088589	ENSG00000207237	Gm22961	RNU6-110P
ENSMUSG00000092805	ENSG00000243365	Gm26461	RN7SL278P
ENSMUSG00000092885	ENSG00000284261	Gm22123	MIR4657
ENSMUSG00000088505	ENSG00000252481	Gm26489	SCARNA13
ENSMUSG00000056829	ENSG00000204612	Foxb2	FOXB2
ENSMUSG00000077797	ENSG00000212493	Snord19	SNORD19
ENSMUSG00000065017	ENSG00000200340	Gm23510	RNU1-105P
ENSMUSG00000098466	ENSG00000276225	Gm27350	RF02145
ENSMUSG00000025034	ENSG00000171206	Trim8	TRIM8
ENSMUSG00000088862	ENSG00000251980	Gm23066	RNU6-436P
ENSMUSG00000062226	ENSG00000203909	Gm10112	DPPA5
ENSMUSG00000065259	ENSG00000207233	Snora30	SNORA37
ENSMUSG00000064882	ENSG00000206852	Gm24202	RNU6-895P
ENSMUSG00000087756	ENSG00000252191	Gm23469	RNU6-751P
ENSMUSG00000088993	ENSG00000252191	Gm22770	RNU6-751P
ENSMUSG00000024135	ENSG00000068784	Srbd1	SRBD1
ENSMUSG00000084744	ENSG00000212214	Gm25291	SNORA48B
ENSMUSG00000088266	ENSG00000212214	Gm24782	SNORA48B
ENSMUSG00000087800	ENSG00000212214	Gm25569	SNORA48B
ENSMUSG00000087810	ENSG00000212214	Gm25113	SNORA48B
ENSMUSG00000084708	ENSG00000212214	Gm22988	SNORA48B
ENSMUSG00000065532	ENSG00000207797	Mir187	MIR187
ENSMUSG00000065047	ENSG00000201547	Gm24045	RF00019
ENSMUSG00000089473	ENSG00000200496	Gm25369	RF00096
ENSMUSG00000064600	ENSG00000238363	Gm25636	SNORA13
ENSMUSG00000088763	ENSG00000206864	Gm24391	RNU6-207P
ENSMUSG00000024610	ENSG00000019582	Cd74	CD74
ENSMUSG00000088989	ENSG00000199497	Gm25605	RNU1-94P
ENSMUSG00000065221	ENSG00000252423	Gm25793	RNU6-229P
ENSMUSG00000098536	ENSG00000274396	Gm27868	RF01978
ENSMUSG00000065454	ENSG00000207598	Mir124a-3	MIR124-3
ENSMUSG00000087825	ENSG00000252400	Gm22279	RNU6-1291P
ENSMUSG00000115956	ENSG00000278500	Hoxd4	AC009336.2
ENSMUSG00000089366	ENSG00000201010	Gm23824	RN7SKP224
ENSMUSG00000098967	ENSG00000274199	Gm27845	RF02105
ENSMUSG00000064542	ENSG00000281859	Gm22980	SNORD38B
ENSMUSG00000099312	ENSG00000274655	Gm27733	RF02266
ENSMUSG00000089381	ENSG00000222844	Gm24678	RNU6-321P
ENSMUSG00000065028	ENSG00000201863	Gm25200	RF00432
ENSMUSG00000088133	ENSG00000223229	Gm22895	RN7SKP270
ENSMUSG00000088644	ENSG00000212374	Gm26485	RNU6-401P
ENSMUSG00000088915	ENSG00000212521	Gm22606	RNU6-918P
ENSMUSG00000088294	ENSG00000200215	AF357425	SNORD113-6
ENSMUSG00000089209	ENSG00000251861	Gm26215	RF00601
ENSMUSG00000098920	ENSG00000276670	Gm27427	RF02252
ENSMUSG00000050138	ENSG00000184261	Kcnk12	KCNK12
ENSMUSG00000084652	ENSG00000223245	Gm22717	RNU4-63P
ENSMUSG00000088903	ENSG00000251942	Gm25434	RF00424
ENSMUSG00000064495	ENSG00000206838	Gm24313	SNORA5A
ENSMUSG00000087987	ENSG00000202229	Gm22221	RNU6-1138P
ENSMUSG00000087832	ENSG00000199796	Gm23958	RNU6-924P
ENSMUSG00000064830	ENSG00000199773	Gm25699	RNU1-76P
ENSMUSG00000095389	ENSG00000207014	Gm23953	SNORD116-3
ENSMUSG00000094274	ENSG00000207014	Snord116l12	SNORD116-3
ENSMUSG00000096070	ENSG00000207014	Gm25350	SNORD116-3
ENSMUSG00000096110	ENSG00000207014	Gm26270	SNORD116-3
ENSMUSG00000095045	ENSG00000207014	Gm22851	SNORD116-3
ENSMUSG00000096082	ENSG00000207014	Gm24711	SNORD116-3
ENSMUSG00000096845	ENSG00000207014	Gm25597	SNORD116-3
ENSMUSG00000096057	ENSG00000207014	Gm25944	SNORD116-3
ENSMUSG00000096868	ENSG00000207014	Gm22258	SNORD116-3
ENSMUSG00000094039	ENSG00000207014	Snord116l5	SNORD116-3
ENSMUSG00000094060	ENSG00000207014	Gm25157	SNORD116-3
ENSMUSG00000096462	ENSG00000207014	Gm22812	SNORD116-3
ENSMUSG00000095060	ENSG00000207014	Gm26188	SNORD116-3
ENSMUSG00000094109	ENSG00000207014	Gm22776	SNORD116-3
ENSMUSG00000094573	ENSG00000207014	Snord116l13	SNORD116-3
ENSMUSG00000095100	ENSG00000207014	Gm22128	SNORD116-3
ENSMUSG00000095691	ENSG00000207014	Snord116l11	SNORD116-3
ENSMUSG00000094150	ENSG00000207014	Gm23265	SNORD116-3
ENSMUSG00000095349	ENSG00000207014	Gm26097	SNORD116-3
ENSMUSG00000095479	ENSG00000207014	Gm25074	SNORD116-3
ENSMUSG00000096475	ENSG00000207014	Snord116l1	SNORD116-3
ENSMUSG00000095458	ENSG00000207014	Snord116l8	SNORD116-3
ENSMUSG00000084744	ENSG00000212181	Gm25291	RF00554
ENSMUSG00000088266	ENSG00000212181	Gm24782	RF00554
ENSMUSG00000087800	ENSG00000212181	Gm25569	RF00554
ENSMUSG00000087810	ENSG00000212181	Gm25113	RF00554
ENSMUSG00000084708	ENSG00000212181	Gm22988	RF00554
ENSMUSG00000095016	ENSG00000207113	Gm26285	RNU6-16P
ENSMUSG00000065095	ENSG00000202449	Gm23679	RF00092
ENSMUSG00000098816	ENSG00000274866	Gm27786	RF01973
ENSMUSG00000065221	ENSG00000206778	Gm25793	RNU6-213P
ENSMUSG00000064923	ENSG00000199488	Gm22042	RNU1-70P
ENSMUSG00000098848	ENSG00000277764	Gm27893	RF02272
ENSMUSG00000092974	ENSG00000277721	Gm25072	RF00017
ENSMUSG00000092905	ENSG00000277721	Gm25735	RF00017
ENSMUSG00000093345	ENSG00000277721	Gm27956	RF00017
ENSMUSG00000098690	ENSG00000277721	Gm27316	RF00017
ENSMUSG00000099117	ENSG00000273537	Gm27404	RF01986
ENSMUSG00000098743	ENSG00000277577	Gm27927	RF01881
ENSMUSG00000096205	ENSG00000272020	Gm22068	RNU1-30P
ENSMUSG00000095969	ENSG00000272020	Rnu1a1	RNU1-30P
ENSMUSG00000064719	ENSG00000200877	Gm25930	RNU6-560P
ENSMUSG00000025017	ENSG00000155629	Pik3ap1	PIK3AP1
ENSMUSG00000024535	ENSG00000064652	Snx24	SNX24
ENSMUSG00000065239	ENSG00000223313	Gm22971	RNU6-516P
ENSMUSG00000077220	ENSG00000212378	Snord78	RF00592
