pigID	HumanID	pigGeneSymbol	HumanGeneSymbol
ENSSSCG00000033672	ENSG00000168298	HIST1H1E	HIST1H1E
ENSSSCG00000009408	ENSG00000136141	LRCH1	LRCH1
ENSSSCG00000009698	ENSG00000145451	GLRA3	GLRA3
ENSSSCG00000016267	ENSG00000135916	ITM2C	ITM2C
ENSSSCG00000026455	ENSG00000121900	TMEM54	TMEM54
ENSSSCG00000016918	ENSG00000095015	MAP3K1	MAP3K1
ENSSSCG00000035774	ENSG00000116285	ERRFI1	ERRFI1
ENSSSCG00000035775	ENSG00000074582	BCS1L	BCS1L
ENSSSCG00000009534	ENSG00000270181	NA	BIVM-ERCC5
ENSSSCG00000001074	ENSG00000165097	KDM1B	KDM1B
ENSSSCG00000015649	ENSG00000143479	DYRK3	DYRK3
ENSSSCG00000038702	ENSG00000125870	NA	SNRPB2
ENSSSCG00000025321	ENSG00000103495	MAZ	MAZ
ENSSSCG00000005486	ENSG00000136883	KIF12	KIF12
ENSSSCG00000022687	ENSG00000110583	NAA40	NAA40
ENSSSCG00000029627	ENSG00000275464	NA	FP565260.1
ENSSSCG00000032836	ENSG00000183718	NA	TRIM52
ENSSSCG00000038947	ENSG00000179412	NA	HNRNPCL4
ENSSSCG00000017917	ENSG00000141503	MINK1	MINK1
ENSSSCG00000032929	ENSG00000151023	ENKUR	ENKUR
ENSSSCG00000010266	ENSG00000148734	NPFFR1	NPFFR1
ENSSSCG00000008309	ENSG00000116096	NA	SPR
ENSSSCG00000033805	ENSG00000214929	NA	SPATA31D1
ENSSSCG00000012695	ENSG00000165359	INTS6L	INTS6L
ENSSSCG00000008337	ENSG00000115977	AAK1	AAK1
ENSSSCG00000003371	ENSG00000158292	GPR153	GPR153
ENSSSCG00000022209	ENSG00000147166	ITGB1BP2	ITGB1BP2
ENSSSCG00000002905	ENSG00000126254	RBM42	RBM42
ENSSSCG00000007237	ENSG00000088356	PDRG1	PDRG1
ENSSSCG00000010957	ENSG00000135049	AGTPBP1	AGTPBP1
ENSSSCG00000036364	ENSG00000135625	EGR4	EGR4
ENSSSCG00000034450	ENSG00000144827	ABHD10	ABHD10
ENSSSCG00000009345	ENSG00000083642	PDS5B	PDS5B
ENSSSCG00000015913	ENSG00000169432	SCN9A	SCN9A
ENSSSCG00000014628	ENSG00000166313	APBB1	APBB1
ENSSSCG00000012667	ENSG00000147255	IGSF1	IGSF1
ENSSSCG00000031442	ENSG00000172409	CLP1	CLP1
ENSSSCG00000009377	ENSG00000136114	THSD1	THSD1
ENSSSCG00000025629	ENSG00000118004	COLEC11	COLEC11
ENSSSCG00000007805	ENSG00000196296	ATP2A1	ATP2A1
ENSSSCG00000031172	ENSG00000123091	RNF11	RNF11
ENSSSCG00000007507	ENSG00000124253	PCK1	PCK1
ENSSSCG00000003150	ENSG00000104805	NUCB1	NUCB1
ENSSSCG00000036210	ENSG00000135720	DYNC1LI2	DYNC1LI2
ENSSSCG00000039182	ENSG00000187479	C11orf96	C11orf96
ENSSSCG00000012644	ENSG00000009694	TENM1	TENM1
ENSSSCG00000038767	ENSG00000197971	MBP	MBP
ENSSSCG00000035506	ENSG00000246922	UBAP1L	UBAP1L
ENSSSCG00000000552	ENSG00000152944	MED21	MED21
ENSSSCG00000029419	ENSG00000168356	SCN11A	SCN11A
ENSSSCG00000021536	ENSG00000213937	CLDN9	CLDN9
ENSSSCG00000021933	ENSG00000258227	CLEC5A	CLEC5A
ENSSSCG00000002028	ENSG00000166091	CMTM5	CMTM5
ENSSSCG00000039951	ENSG00000280411	NA	IGHV1-69D
ENSSSCG00000000288	ENSG00000135486	HNRNPA1	HNRNPA1
ENSSSCG00000036363	ENSG00000105650	NA	PDE4C
ENSSSCG00000034551	ENSG00000260428	SCX	SCX
ENSSSCG00000025651	ENSG00000168827	GFM1	GFM1
ENSSSCG00000001949	ENSG00000168348	INSM2	INSM2
ENSSSCG00000031312	ENSG00000211721	NA	TRBV6-5
ENSSSCG00000007602	ENSG00000006453	BAIAP2L1	BAIAP2L1
ENSSSCG00000009259	ENSG00000163291	PAQR3	PAQR3
ENSSSCG00000000718	ENSG00000130035	NA	GALNT8
ENSSSCG00000028394	ENSG00000127362	TAS2R3	TAS2R3
ENSSSCG00000038591	ENSG00000123352	NA	SPATS2
ENSSSCG00000025404	ENSG00000100249	C22orf31	C22orf31
ENSSSCG00000015784	ENSG00000151726	ACSL1	ACSL1
ENSSSCG00000002559	ENSG00000170779	CDCA4	CDCA4
ENSSSCG00000009955	ENSG00000244752	CRYBB2	CRYBB2
ENSSSCG00000012862	ENSG00000021762	OSBPL5	OSBPL5
ENSSSCG00000025151	ENSG00000260914	NA	AC026464.4
ENSSSCG00000017232	ENSG00000109062	SLC9A3R1	SLC9A3R1
ENSSSCG00000008484	ENSG00000115875	SRSF7	SRSF7
ENSSSCG00000010005	ENSG00000099999	RNF215	RNF215
ENSSSCG00000022952	ENSG00000169251	NMD3	NMD3
ENSSSCG00000011364	ENSG00000213672	NCKIPSD	NCKIPSD
ENSSSCG00000040569	ENSG00000069764	PLA2G10	PLA2G10
ENSSSCG00000005918	ENSG00000185000	DGAT1	DGAT1
ENSSSCG00000000857	ENSG00000017427	IGF1	IGF1
ENSSSCG00000010925	ENSG00000077157	PPP1R12B	PPP1R12B
ENSSSCG00000034927	ENSG00000205609	NA	EIF3CL
ENSSSCG00000013378	ENSG00000006071	ABCC8	ABCC8
ENSSSCG00000021161	ENSG00000123975	CKS2	CKS2
ENSSSCG00000030408	ENSG00000107201	DDX58	DDX58
ENSSSCG00000000902	ENSG00000120798	NR2C1	NR2C1
ENSSSCG00000011192	ENSG00000131373	HACL1	HACL1
ENSSSCG00000013503	ENSG00000105251	SHD	SHD
ENSSSCG00000016912	ENSG00000067113	PLPP1	PLPP1
ENSSSCG00000000121	ENSG00000128310	GALR3	GALR3
ENSSSCG00000035059	ENSG00000065328	MCM10	MCM10
ENSSSCG00000011575	ENSG00000197548	ATG7	ATG7
ENSSSCG00000003263	ENSG00000105618	PRPF31	PRPF31
ENSSSCG00000021411	ENSG00000158373	HIST1H2BD	HIST1H2BD
ENSSSCG00000031368	ENSG00000136521	NA	NDUFB5
ENSSSCG00000011764	ENSG00000136521	NA	NDUFB5
ENSSSCG00000025794	ENSG00000156860	FBRS	FBRS
ENSSSCG00000030652	ENSG00000176681	NA	LRRC37A
ENSSSCG00000017324	ENSG00000176681	NA	LRRC37A
ENSSSCG00000011043	ENSG00000165985	C1QL3	C1QL3
ENSSSCG00000010591	ENSG00000148795	CYP17A1	CYP17A1
ENSSSCG00000007845	ENSG00000140740	UQCRC2	UQCRC2
ENSSSCG00000027017	ENSG00000174738	NR1D2	NR1D2
ENSSSCG00000002404	ENSG00000100596	SPTLC2	SPTLC2
ENSSSCG00000028632	ENSG00000171155	NA	C1GALT1C1
ENSSSCG00000017879	ENSG00000183018	SPNS2	SPNS2
ENSSSCG00000010787	ENSG00000214279	SCART1	SCART1
ENSSSCG00000033151	ENSG00000174482	LINGO2	LINGO2
ENSSSCG00000024109	ENSG00000161267	BDH1	BDH1
ENSSSCG00000031933	ENSG00000185960	NA	SHOX
ENSSSCG00000031698	ENSG00000104522	TSTA3	TSTA3
ENSSSCG00000015053	ENSG00000149305	HTR3B	HTR3B
ENSSSCG00000006248	ENSG00000172680	MOS	MOS
ENSSSCG00000022896	ENSG00000072832	CRMP1	CRMP1
ENSSSCG00000001091	ENSG00000137261	KIAA0319	KIAA0319
ENSSSCG00000036363	ENSG00000285188	NA	AC008397.2
ENSSSCG00000031949	ENSG00000067369	TP53BP1	TP53BP1
ENSSSCG00000037307	ENSG00000198901	NA	PRC1
ENSSSCG00000000648	ENSG00000172243	CLEC7A	CLEC7A
ENSSSCG00000015546	ENSG00000203730	TEDDM1	TEDDM1
ENSSSCG00000028282	ENSG00000115902	SLC1A4	SLC1A4
ENSSSCG00000003755	ENSG00000153898	MCOLN2	MCOLN2
ENSSSCG00000007648	ENSG00000197093	GAL3ST4	GAL3ST4
ENSSSCG00000004500	ENSG00000152242	C18orf25	C18orf25
ENSSSCG00000012841	ENSG00000177666	PNPLA2	PNPLA2
ENSSSCG00000003592	ENSG00000162512	SDC3	SDC3
ENSSSCG00000033551	ENSG00000166862	CACNG2	CACNG2
ENSSSCG00000017131	ENSG00000167363	FN3K	FN3K
ENSSSCG00000024088	ENSG00000171914	TLN2	TLN2
ENSSSCG00000014319	ENSG00000113658	SMAD5	SMAD5
ENSSSCG00000005316	ENSG00000198467	TPM2	TPM2
ENSSSCG00000001618	ENSG00000096264	NA	NCR2
ENSSSCG00000036844	ENSG00000174946	GPR171	GPR171
ENSSSCG00000000959	ENSG00000133424	NA	LARGE1
ENSSSCG00000036480	ENSG00000183230	CTNNA3	CTNNA3
ENSSSCG00000039929	ENSG00000104884	ERCC2	ERCC2
ENSSSCG00000009963	ENSG00000128294	TPST2	TPST2
ENSSSCG00000034436	ENSG00000128294	NA	TPST2
ENSSSCG00000030528	ENSG00000198862	LTN1	LTN1
ENSSSCG00000034279	ENSG00000204544	NA	MUC21
ENSSSCG00000025413	ENSG00000184999	NA	SLC22A10
ENSSSCG00000040300	ENSG00000127074	RGS13	RGS13
ENSSSCG00000004675	ENSG00000137857	DUOX1	DUOX1
ENSSSCG00000004931	ENSG00000103742	IGDCC4	IGDCC4
ENSSSCG00000024796	ENSG00000243566	NA	UPK3B
ENSSSCG00000008943	ENSG00000080493	SLC4A4	SLC4A4
ENSSSCG00000027327	ENSG00000183977	PP2D1	PP2D1
ENSSSCG00000031388	ENSG00000181788	SIAH2	SIAH2
ENSSSCG00000005575	ENSG00000056586	RC3H2	RC3H2
ENSSSCG00000028327	ENSG00000072422	RHOBTB1	RHOBTB1
ENSSSCG00000030484	ENSG00000106546	AHR	AHR
ENSSSCG00000020871	ENSG00000006756	ARSD	ARSD
ENSSSCG00000001419	ENSG00000204385	SLC44A4	SLC44A4
ENSSSCG00000006781	ENSG00000143079	CTTNBP2NL	CTTNBP2NL
ENSSSCG00000003821	ENSG00000132854	KANK4	KANK4
ENSSSCG00000036336	ENSG00000186288	NA	PABPC1L2A
ENSSSCG00000032167	ENSG00000186288	NA	PABPC1L2A
ENSSSCG00000035564	ENSG00000076003	MCM6	MCM6
ENSSSCG00000029518	ENSG00000101782	RIOK3	RIOK3
ENSSSCG00000002524	ENSG00000166126	AMN	AMN
ENSSSCG00000015126	ENSG00000137699	TRIM29	TRIM29
ENSSSCG00000008938	ENSG00000132464	ENAM	ENAM
ENSSSCG00000002594	ENSG00000176281	NA	OR4K5
ENSSSCG00000035108	ENSG00000176281	NA	OR4K5
ENSSSCG00000000492	ENSG00000090382	LYZ	LYZ
ENSSSCG00000037343	ENSG00000181991	MRPS11	MRPS11
ENSSSCG00000001653	ENSG00000124587	PEX6	PEX6
ENSSSCG00000017513	ENSG00000141279	NPEPPS	NPEPPS
ENSSSCG00000003543	ENSG00000001461	NIPAL3	NIPAL3
ENSSSCG00000017473	ENSG00000131747	TOP2A	TOP2A
ENSSSCG00000007360	ENSG00000124177	CHD6	CHD6
ENSSSCG00000030269	ENSG00000167080	NA	B4GALNT2
ENSSSCG00000035091	ENSG00000270629	NA	NBPF14
ENSSSCG00000035545	ENSG00000186513	NA	OR9Q2
ENSSSCG00000037869	ENSG00000128609	NA	NDUFA5
ENSSSCG00000039446	ENSG00000128609	NA	NDUFA5
ENSSSCG00000013434	ENSG00000185988	NA	PLK5
ENSSSCG00000012160	ENSG00000147010	SH3KBP1	SH3KBP1
ENSSSCG00000004625	ENSG00000166477	LEO1	LEO1
ENSSSCG00000017892	ENSG00000091622	PITPNM3	PITPNM3
ENSSSCG00000009258	ENSG00000156269	NAA11	NAA11
ENSSSCG00000003384	ENSG00000007923	DNAJC11	DNAJC11
ENSSSCG00000000577	ENSG00000111713	GYS2	GYS2
ENSSSCG00000039780	ENSG00000185924	RTN4RL1	RTN4RL1
ENSSSCG00000035073	ENSG00000085563	NA	ABCB1
ENSSSCG00000015390	ENSG00000085563	NA	ABCB1
ENSSSCG00000007555	ENSG00000164853	UNCX	UNCX
ENSSSCG00000022786	ENSG00000115275	MOGS	MOGS
ENSSSCG00000040344	ENSG00000135269	TES	TES
ENSSSCG00000031913	ENSG00000065518	NDUFB4	NDUFB4
ENSSSCG00000037107	ENSG00000239862	NA	IGKV1-37
ENSSSCG00000039648	ENSG00000239862	NA	IGKV1-37
ENSSSCG00000034961	ENSG00000239862	NA	IGKV1-37
ENSSSCG00000037837	ENSG00000239862	NA	IGKV1-37
ENSSSCG00000008205	ENSG00000239862	NA	IGKV1-37
ENSSSCG00000000567	ENSG00000134532	SOX5	SOX5
ENSSSCG00000017770	ENSG00000167525	PROCA1	PROCA1
ENSSSCG00000006494	ENSG00000160785	SLC25A44	SLC25A44
ENSSSCG00000006618	ENSG00000159409	CELF3	CELF3
ENSSSCG00000040070	ENSG00000183090	FREM3	FREM3
ENSSSCG00000009238	ENSG00000173085	COQ2	COQ2
ENSSSCG00000009967	ENSG00000180957	NA	PITPNB
ENSSSCG00000004854	ENSG00000104067	NA	TJP1
ENSSSCG00000008720	ENSG00000215612	HMX1	HMX1
ENSSSCG00000017073	ENSG00000055147	FAM114A2	FAM114A2
ENSSSCG00000001523	ENSG00000124493	GRM4	GRM4
ENSSSCG00000036241	ENSG00000156795	NA	WDYHV1
ENSSSCG00000035745	ENSG00000163283	NA	ALPP
ENSSSCG00000017402	ENSG00000126561	STAT5A	STAT5A
ENSSSCG00000037777	ENSG00000102119	EMD	EMD
ENSSSCG00000020988	ENSG00000188171	NA	ZNF626
ENSSSCG00000021018	ENSG00000073605	NA	GSDMB
ENSSSCG00000000075	ENSG00000196588	MRTFA	MRTFA
ENSSSCG00000040377	ENSG00000104921	FCER2	FCER2
ENSSSCG00000037559	ENSG00000162390	ACOT11	ACOT11
ENSSSCG00000010057	ENSG00000178026	LRRC75B	LRRC75B
ENSSSCG00000016129	ENSG00000183671	GPR1	GPR1
ENSSSCG00000014917	ENSG00000149201	CCDC81	CCDC81
ENSSSCG00000008972	ENSG00000156194	PPEF2	PPEF2
ENSSSCG00000017528	ENSG00000002919	SNX11	SNX11
ENSSSCG00000029756	ENSG00000173698	ADGRG2	ADGRG2
ENSSSCG00000035058	ENSG00000153823	PID1	PID1
ENSSSCG00000012902	ENSG00000167797	CDK2AP2	CDK2AP2
ENSSSCG00000040808	ENSG00000125538	NA	IL1B
ENSSSCG00000008087	ENSG00000125538	IL1B2	IL1B
ENSSSCG00000034182	ENSG00000125538	NA	IL1B
ENSSSCG00000036704	ENSG00000125538	NA	IL1B
ENSSSCG00000032764	ENSG00000125538	NA	IL1B
ENSSSCG00000033667	ENSG00000125538	NA	IL1B
ENSSSCG00000039214	ENSG00000125538	NA	IL1B
ENSSSCG00000021862	ENSG00000125384	PTGER2	PTGER2
ENSSSCG00000030998	ENSG00000156076	WIF1	WIF1
ENSSSCG00000029627	ENSG00000241945	NA	PWP2
ENSSSCG00000003877	ENSG00000185104	FAF1	FAF1
ENSSSCG00000005638	ENSG00000148346	LCN2	LCN2
ENSSSCG00000011446	ENSG00000114904	NEK4	NEK4
ENSSSCG00000007046	ENSG00000089195	TRMT6	TRMT6
ENSSSCG00000006078	ENSG00000104356	POP1	POP1
ENSSSCG00000040486	ENSG00000089685	BIRC5	BIRC5
ENSSSCG00000009935	ENSG00000174527	MYO1H	MYO1H
ENSSSCG00000014017	ENSG00000161013	MGAT4B	MGAT4B
ENSSSCG00000001588	ENSG00000124721	DNAH8	DNAH8
ENSSSCG00000037180	ENSG00000176547	NA	OR4C3
ENSSSCG00000015402	ENSG00000153956	CACNA2D1	CACNA2D1
ENSSSCG00000003773	ENSG00000154027	AK5	AK5
ENSSSCG00000021075	ENSG00000095627	TDRD1	TDRD1
ENSSSCG00000008121	ENSG00000186281	GPAT2	GPAT2
ENSSSCG00000002170	ENSG00000176299	NA	OR4M1
ENSSSCG00000038278	ENSG00000101188	NTSR1	NTSR1
ENSSSCG00000032024	ENSG00000142207	URB1	URB1
ENSSSCG00000035277	ENSG00000203907	NA	OOEP
ENSSSCG00000005646	ENSG00000167113	COQ4	COQ4
ENSSSCG00000010467	ENSG00000095564	BTAF1	BTAF1
ENSSSCG00000011199	ENSG00000131374	TBC1D5	TBC1D5
ENSSSCG00000004971	ENSG00000140332	TLE3	TLE3
ENSSSCG00000011590	ENSG00000163914	RHO	RHO
ENSSSCG00000038737	ENSG00000254658	NA	OR8J2
ENSSSCG00000007823	ENSG00000155592	ZKSCAN2	ZKSCAN2
ENSSSCG00000023819	ENSG00000228927	NA	TSPY3
ENSSSCG00000017923	ENSG00000161905	ALOX15	ALOX15
ENSSSCG00000004410	ENSG00000155085	NA	AK9
ENSSSCG00000027121	ENSG00000115758	ODC1	ODC1
ENSSSCG00000011453	ENSG00000055955	ITIH4	ITIH4
ENSSSCG00000036019	ENSG00000197992	NA	CLEC9A
ENSSSCG00000032485	ENSG00000167005	NA	NUDT21
ENSSSCG00000027410	ENSG00000078699	CBFA2T2	CBFA2T2
ENSSSCG00000007749	ENSG00000249773	NA	AC092647.5
ENSSSCG00000009196	ENSG00000172238	ATOH1	ATOH1
ENSSSCG00000038635	ENSG00000172006	ZNF554	ZNF554
ENSSSCG00000035965	ENSG00000171885	AQP4	AQP4
ENSSSCG00000014364	ENSG00000131503	ANKHD1	ANKHD1
ENSSSCG00000005880	ENSG00000182307	C8orf33	C8orf33
ENSSSCG00000031905	ENSG00000170745	KCNS3	KCNS3
ENSSSCG00000012784	ENSG00000180879	SSR4	SSR4
ENSSSCG00000034731	ENSG00000160182	NA	TFF1
ENSSSCG00000010106	ENSG00000152076	NA	CCDC74B
ENSSSCG00000029494	ENSG00000089050	RBBP9	RBBP9
ENSSSCG00000011626	ENSG00000180697	NA	C3orf22
ENSSSCG00000015779	ENSG00000168564	CDKN2AIP	CDKN2AIP
ENSSSCG00000003072	ENSG00000167637	ZNF283	ZNF283
ENSSSCG00000016705	ENSG00000105997	HOXA3	HOXA3
ENSSSCG00000011655	ENSG00000155368	NA	DBI
ENSSSCG00000003710	ENSG00000168234	TTC39C	TTC39C
ENSSSCG00000033161	ENSG00000126945	HNRNPH2	HNRNPH2
ENSSSCG00000011069	ENSG00000169126	ARMC4	ARMC4
ENSSSCG00000024145	ENSG00000068489	PRR11	PRR11
ENSSSCG00000021968	ENSG00000135917	SLC19A3	SLC19A3
ENSSSCG00000013269	ENSG00000121653	MAPK8IP1	MAPK8IP1
ENSSSCG00000020965	ENSG00000163155	LYSMD1	LYSMD1
ENSSSCG00000035882	ENSG00000100744	NA	GSKIP
ENSSSCG00000009938	ENSG00000076248	UNG	UNG
ENSSSCG00000040426	ENSG00000237489	NA	C10orf143
ENSSSCG00000007199	ENSG00000101276	SLC52A3	SLC52A3
ENSSSCG00000016616	ENSG00000196937	FAM3C	FAM3C
ENSSSCG00000008480	ENSG00000188010	MORN2	MORN2
ENSSSCG00000005906	ENSG00000071894	CPSF1	CPSF1
ENSSSCG00000039219	ENSG00000206053	NA	JPT2
ENSSSCG00000036788	ENSG00000206053	NA	JPT2
ENSSSCG00000036772	ENSG00000171735	CAMTA1	CAMTA1
ENSSSCG00000038189	ENSG00000176994	SMCR8	SMCR8
ENSSSCG00000021511	ENSG00000174500	GCSAM	GCSAM
ENSSSCG00000004859	ENSG00000101493	ZNF516	ZNF516
ENSSSCG00000014539	ENSG00000196670	ZFP62	ZFP62
ENSSSCG00000015925	ENSG00000152254	G6PC2	G6PC2
ENSSSCG00000003979	ENSG00000117010	ZNF684	ZNF684
ENSSSCG00000034519	ENSG00000197641	SERPINB13	SERPINB13
ENSSSCG00000017330	ENSG00000006062	MAP3K14	MAP3K14
ENSSSCG00000025401	ENSG00000185324	CDK10	CDK10
ENSSSCG00000029186	ENSG00000174938	SEZ6L2	SEZ6L2
ENSSSCG00000024759	ENSG00000006210	CX3CL1	CX3CL1
ENSSSCG00000009317	ENSG00000165556	CDX2	CDX2
ENSSSCG00000014149	ENSG00000081189	MEF2C	MEF2C
ENSSSCG00000032135	ENSG00000198223	NA	CSF2RA
ENSSSCG00000030088	ENSG00000198223	NA	CSF2RA
ENSSSCG00000011290	ENSG00000181061	NA	HIGD1A
ENSSSCG00000038349	ENSG00000181061	NA	HIGD1A
ENSSSCG00000011885	ENSG00000163833	FBXO40	FBXO40
ENSSSCG00000026960	ENSG00000285253	NA	AC090517.4
ENSSSCG00000016052	ENSG00000151690	MFSD6	MFSD6
ENSSSCG00000027457	ENSG00000167196	FBXO22	FBXO22
ENSSSCG00000029174	ENSG00000169193	CCDC126	CCDC126
ENSSSCG00000021305	ENSG00000114374	NA	USP9Y
ENSSSCG00000001219	ENSG00000204713	TRIM27	TRIM27
ENSSSCG00000039889	ENSG00000152219	ARL14EP	ARL14EP
ENSSSCG00000008973	ENSG00000138744	NAAA	NAAA
ENSSSCG00000015216	ENSG00000134940	ACRV1	ACRV1
ENSSSCG00000015582	ENSG00000152104	PTPN14	PTPN14
ENSSSCG00000022274	ENSG00000187714	SLC18A3	SLC18A3
ENSSSCG00000028822	ENSG00000178473	UCN3	UCN3
ENSSSCG00000007451	ENSG00000197496	SLC2A10	SLC2A10
ENSSSCG00000010471	ENSG00000138160	KIF11	KIF11
ENSSSCG00000025955	ENSG00000130511	SSBP4	SSBP4
ENSSSCG00000015396	ENSG00000153993	SEMA3D	SEMA3D
ENSSSCG00000016646	ENSG00000006652	IFRD1	IFRD1
ENSSSCG00000032979	ENSG00000151881	TMEM267	TMEM267
ENSSSCG00000027381	ENSG00000115486	GGCX	GGCX
ENSSSCG00000003417	ENSG00000204624	DISP3	DISP3
ENSSSCG00000040139	ENSG00000237172	B3GNT9	B3GNT9
ENSSSCG00000032368	ENSG00000177047	IFN-OMEGA-6	IFNW1
ENSSSCG00000040054	ENSG00000177047	IFN-OMEGA-7	IFNW1
ENSSSCG00000023376	ENSG00000178184	PARD6G	PARD6G
ENSSSCG00000009671	ENSG00000168078	PBK	PBK
ENSSSCG00000007580	ENSG00000157954	WIPI2	WIPI2
ENSSSCG00000035022	ENSG00000236981	NA	OR10G9
ENSSSCG00000030343	ENSG00000177058	SLC38A9	SLC38A9
ENSSSCG00000007077	ENSG00000089048	ESF1	ESF1
ENSSSCG00000028858	ENSG00000125998	FAM83C	FAM83C
ENSSSCG00000036476	ENSG00000165476	REEP3	REEP3
ENSSSCG00000016716	ENSG00000105928	GSDME	GSDME
ENSSSCG00000020783	ENSG00000133065	SLC41A1	SLC41A1
ENSSSCG00000016971	ENSG00000131844	MCCC2	MCCC2
ENSSSCG00000034314	ENSG00000130520	LSM4	LSM4
ENSSSCG00000010319	ENSG00000156671	SAMD8	SAMD8
ENSSSCG00000007147	ENSG00000132622	HSPA12B	HSPA12B
ENSSSCG00000012151	ENSG00000188158	NHS	NHS
ENSSSCG00000035807	ENSG00000146399	TAAR1	TAAR1
ENSSSCG00000013074	ENSG00000167994	RAB3IL1	RAB3IL1
ENSSSCG00000002283	ENSG00000033170	FUT8	FUT8
ENSSSCG00000026155	ENSG00000186765	FSCN2	FSCN2
ENSSSCG00000001552	ENSG00000137392	CLPS	CLPS
ENSSSCG00000036198	ENSG00000167526	NA	RPL13
ENSSSCG00000002387	ENSG00000089916	GPATCH2L	GPATCH2L
ENSSSCG00000011514	ENSG00000187098	MITF	MITF
ENSSSCG00000003573	ENSG00000142733	MAP3K6	MAP3K6
ENSSSCG00000038746	ENSG00000139974	NA	SLC38A6
ENSSSCG00000017320	ENSG00000179673	RPRML	RPRML
ENSSSCG00000029860	ENSG00000129595	EPB41L4A	EPB41L4A
ENSSSCG00000010379	ENSG00000170324	FRMPD2	FRMPD2
ENSSSCG00000016856	ENSG00000113600	C9	C9
ENSSSCG00000024578	ENSG00000019144	PHLDB1	PHLDB1
ENSSSCG00000005761	ENSG00000196422	PPP1R26	PPP1R26
ENSSSCG00000031467	ENSG00000138101	NA	DTNB
ENSSSCG00000013232	ENSG00000109919	NA	MTCH2
ENSSSCG00000034469	ENSG00000205755	NA	CRLF2
ENSSSCG00000039633	ENSG00000205755	NA	CRLF2
ENSSSCG00000015776	ENSG00000182552	RWDD4	RWDD4
ENSSSCG00000010532	ENSG00000138131	LOXL4	LOXL4
ENSSSCG00000013331	ENSG00000169519	METTL15	METTL15
ENSSSCG00000038792	ENSG00000188732	NA	FAM221A
ENSSSCG00000017752	ENSG00000109046	WSB1	WSB1
ENSSSCG00000031663	ENSG00000172146	NA	OR1A1
ENSSSCG00000036259	ENSG00000172146	NA	OR1A1
ENSSSCG00000017843	ENSG00000172146	NA	OR1A1
ENSSSCG00000034780	ENSG00000172146	NA	OR1A1
ENSSSCG00000032683	ENSG00000172146	NA	OR1A1
ENSSSCG00000038642	ENSG00000172146	NA	OR1A1
ENSSSCG00000003218	ENSG00000086967	MYBPC2	MYBPC2
ENSSSCG00000006084	ENSG00000147649	MTDH	MTDH
ENSSSCG00000013028	ENSG00000173153	ESRRA	ESRRA
ENSSSCG00000039363	ENSG00000279301	NA	OR2T11
ENSSSCG00000032196	ENSG00000186272	NA	ZNF17
ENSSSCG00000030368	ENSG00000204390	HSPA1L	HSPA1L
ENSSSCG00000006709	ENSG00000134250	NOTCH2	NOTCH2
ENSSSCG00000034972	ENSG00000143786	CNIH3	CNIH3
ENSSSCG00000026158	ENSG00000070950	RAD18	RAD18
ENSSSCG00000003705	ENSG00000134508	CABLES1	CABLES1
ENSSSCG00000016810	ENSG00000133401	PDZD2	PDZD2
ENSSSCG00000006371	ENSG00000158773	USF1	USF1
ENSSSCG00000026502	ENSG00000271601	LIX1L	LIX1L
ENSSSCG00000016938	ENSG00000086200	IPO11	IPO11
ENSSSCG00000026993	ENSG00000243678	NA	NME2
ENSSSCG00000031602	ENSG00000101152	DNAJC5	DNAJC5
ENSSSCG00000008533	ENSG00000171094	ALK	ALK
ENSSSCG00000003716	ENSG00000141380	SS18	SS18
ENSSSCG00000007838	ENSG00000155719	OTOA	OTOA
ENSSSCG00000026042	ENSG00000131019	ULBP1	ULBP3
ENSSSCG00000036270	ENSG00000151418	ATP6V1G3	ATP6V1G3
ENSSSCG00000003115	ENSG00000105419	MEIS3	MEIS3
ENSSSCG00000016834	ENSG00000164187	LMBRD2	LMBRD2
ENSSSCG00000016455	ENSG00000213215	NA	OR2F1
ENSSSCG00000016454	ENSG00000213215	NA	OR2F1
ENSSSCG00000033854	ENSG00000100097	LGALS1	LGALS1
ENSSSCG00000034722	ENSG00000276409	CCL14	CCL14
ENSSSCG00000015405	ENSG00000135218	NA	CD36
ENSSSCG00000030638	ENSG00000135218	NA	CD36
ENSSSCG00000032361	ENSG00000169488	NA	OR4K15
ENSSSCG00000038629	ENSG00000169488	NA	OR4K15
ENSSSCG00000032039	ENSG00000169488	NA	OR4K15
ENSSSCG00000013188	ENSG00000169488	NA	OR4K15
ENSSSCG00000037646	ENSG00000140403	DNAJA4	DNAJA4
ENSSSCG00000024152	ENSG00000139083	ETV6	ETV6
ENSSSCG00000004806	ENSG00000198826	NA	ARHGAP11A
ENSSSCG00000009943	ENSG00000084112	SSH1	SSH1
ENSSSCG00000000139	ENSG00000100360	IFT27	IFT27
ENSSSCG00000037109	ENSG00000204704	NA	OR2W1
ENSSSCG00000031315	ENSG00000204704	NA	OR2W1
ENSSSCG00000033152	ENSG00000204704	NA	OR2W1
ENSSSCG00000012787	ENSG00000198910	L1CAM	L1CAM
ENSSSCG00000038446	ENSG00000174914	NA	OR9G1
ENSSSCG00000039196	ENSG00000105258	POLR2I	POLR2I
ENSSSCG00000000209	ENSG00000167566	NCKAP5L	NCKAP5L
ENSSSCG00000026472	ENSG00000146223	RPL7L1	RPL7L1
ENSSSCG00000033457	ENSG00000275688	NA	CCL15-CCL14
